ano,mes,unidade,especialidade,leitos_disponiveis,taxa_ocupacao,internacoes,tempo_medio_internacao_dias,taxa_reinternacao_30d,obitos,faixa_etaria_predominante,tipo_internacao
2022,1,Hospital São José,Clínica Médica,35,0.753,66,9.5,0.093,1,50-64,Urgência
2022,1,Hospital São José,Obstetrícia,21,0.793,39,6.5,0.021,0,65+,Urgência
2022,1,Hospital São José,Pediatria,34,0.628,59,6.1,0.081,1,50-64,Urgência
2022,1,Hospital Santa Casa,Pediatria,44,0.911,96,8.3,0.103,0,65+,Urgência
2022,1,Hospital Santa Casa,Cirurgia Geral,79,0.61,132,7.7,0.021,1,65+,Eletiva
2022,1,Hospital Santa Casa,Oncologia,65,0.88,152,7.1,0.158,4,0-14,Urgência
2022,1,Hospital Santa Casa,Clínica Médica,37,0.502,32,6.9,0.043,1,0-14,Eletiva
2022,1,Hospital Santa Casa,Cardiologia,54,0.711,79,4.0,0.137,2,65+,Eletiva
2022,1,Hospital Regional Norte,Clínica Médica,37,0.963,83,7.7,0.074,1,50-64,Urgência
2022,1,Hospital Regional Norte,Cirurgia Geral,76,0.834,120,4.1,0.081,5,30-49,Urgência
2022,1,Hospital Regional Norte,Oncologia,77,0.622,143,4.3,,6,0-14,Urgência
2022,1,Hospital Regional Norte,Pediatria,29,0.572,35,2.3,0.116,1,50-64,Urgência
2022,1,Hospital Regional Norte,Ortopedia,55,0.732,103,5.2,0.059,1,30-49,Urgência
2022,1,Hospital Regional Sul,Cardiologia,49,0.912,115,5.6,0.147,2,65+,Urgência
2022,1,Hospital Regional Sul,Ortopedia,75,0.557,94,2.1,0.092,4,15-29,Urgência
2022,1,Hospital Regional Sul,Cirurgia Geral,58,0.709,119,5.9,0.135,1,30-49,Eletiva
2022,1,Hospital Universitário,Ortopedia,25,0.695,51,1.0,0.06,1,50-64,Eletiva
2022,1,Hospital Universitário,Cardiologia,36,0.559,59,4.9,0.141,1,15-29,Urgência
2022,1,Hospital Universitário,Clínica Médica,45,0.894,86,5.4,0.06,2,15-29,Urgência
2022,1,Hospital Municipal Centro,Clínica Médica,20,0.873,32,7.0,0.146,0,0-14,Eletiva
2022,1,Hospital Municipal Centro,Cardiologia,37,0.679,42,4.0,0.128,0,50-64,Eletiva
2022,1,Hospital Municipal Centro,Neurologia,70,0.599,68,5.9,0.06,1,50-64,Urgência
2022,1,Hospital Municipal Centro,Cirurgia Geral,75,0.696,155,1.8,0.113,6,30-49,Urgência
2022,1,Hospital Municipal Centro,Obstetrícia,35,0.773,46,8.4,0.098,2,0-14,Urgência
2022,1,Hospital Municipal Leste,Clínica Médica,73,0.773,148,5.6,0.083,6,50-64,Eletiva
2022,1,Hospital Municipal Leste,Obstetrícia,75,0.686,106,6.0,0.111,3,50-64,Urgência
2022,1,Hospital Municipal Leste,Cardiologia,47,0.656,82,1.7,0.056,1,15-29,Urgência
2022,1,Hospital Maternidade Vida,Clínica Médica,23,0.719,39,4.6,0.002,1,15-29,Urgência
2022,1,Hospital Maternidade Vida,Cardiologia,52,0.787,97,6.3,0.067,1,0-14,Eletiva
2022,1,Hospital Maternidade Vida,Obstetrícia,57,0.582,70,3.6,0.038,1,30-49,Eletiva
2022,1,Hospital Maternidade Vida,Neurologia,62,0.701,91,3.7,0.064,1,30-49,Urgência
2022,1,Hospital Pronto-Socorro 24h,Oncologia,26,0.794,39,6.3,0.155,0,15-29,Urgência
2022,1,Hospital Pronto-Socorro 24h,Cardiologia,38,0.845,82,9.5,0.0,0,65+,Urgência
2022,1,Hospital Pronto-Socorro 24h,Neurologia,62,0.761,117,3.6,0.1,3,0-14,Urgência
2022,1,Hospital Clínica Esperança,Cardiologia,65,0.619,111,8.7,0.05,3,0-14,Urgência
2022,1,Hospital Clínica Esperança,Pediatria,60,0.634,57,6.4,0.088,0,30-49,Eletiva
2022,1,Hospital Clínica Esperança,Oncologia,67,0.545,85,6.9,0.154,4,15-29,Urgência
2022,1,Hospital Clínica Esperança,Cirurgia Geral,73,0.616,96,7.8,0.117,3,0-14,Urgência
2022,1,Hospital Hospital do Coração,Ortopedia,69,0.493,100,3.6,0.08,0,15-29,Eletiva
2022,1,Hospital Hospital do Coração,Obstetrícia,71,0.812,88,1.0,0.077,1,50-64,Eletiva
2022,1,Hospital Hospital do Coração,Clínica Médica,37,0.821,62,8.8,0.124,2,15-29,Urgência
2022,1,Hospital Hospital do Coração,Pediatria,42,0.647,50,9.7,0.106,1,30-49,Urgência
2022,1,Hospital Oncológico,Cardiologia,52,0.447,53,9.7,0.098,1,30-49,Eletiva
2022,1,Hospital Oncológico,Pediatria,57,0.812,76,5.0,0.021,3,30-49,Urgência
2022,1,Hospital Oncológico,Obstetrícia,58,0.779,128,5.4,0.084,4,50-64,Urgência
2022,1,Hospital Infantil Anjo,Obstetrícia,59,0.629,95,10.0,0.069,4,50-64,Urgência
2022,1,Hospital Infantil Anjo,Ortopedia,45,0.67,53,2.5,0.06,0,15-29,Urgência
2022,1,Hospital Infantil Anjo,Clínica Médica,45,0.717,62,5.5,0.032,2,30-49,Urgência
2022,1,Hospital Infantil Anjo,Pediatria,48,0.642,68,6.1,0.138,0,15-29,Urgência
2022,1,Hospital Ortopédico Plus,Obstetrícia,71,0.728,96,6.0,0.003,3,0-14,Urgência
2022,1,Hospital Ortopédico Plus,Clínica Médica,46,0.839,99,3.4,0.05,3,15-29,Urgência
2022,1,Hospital Ortopédico Plus,Cirurgia Geral,77,0.721,92,1.2,0.058,3,65+,Urgência
2022,1,Hospital Ortopédico Plus,Pediatria,23,0.469,18,3.5,0.11,0,65+,Urgência
2022,1,Hospital Ortopédico Plus,Oncologia,80,0.724,157,2.8,0.113,3,65+,Urgência
2022,1,Hospital Saúde Mental,Oncologia,73,0.587,97,2.3,0.058,2,0-14,Urgência
2022,1,Hospital Saúde Mental,Ortopedia,35,0.706,57,7.7,0.099,2,15-29,Eletiva
2022,1,Hospital Saúde Mental,Pediatria,24,0.627,33,6.6,0.15,1,50-64,Urgência
2022,1,Hospital Saúde Mental,Cirurgia Geral,74,0.835,136,3.3,0.112,3,50-64,Urgência
2022,2,Hospital São José,Oncologia,51,0.827,106,5.9,0.06,3,50-64,Eletiva
2022,2,Hospital São José,Cirurgia Geral,59,0.464,65,4.3,0.071,1,50-64,Eletiva
2022,2,Hospital São José,Pediatria,75,0.683,105,5.7,0.088,4,50-64,Urgência
2022,2,Hospital São José,Ortopedia,68,0.84,157,4.7,0.015,5,0-14,Urgência
2022,2,Hospital Santa Casa,Cirurgia Geral,68,0.809,151,5.9,0.059,3,50-64,Urgência
2022,2,Hospital Santa Casa,Neurologia,56,0.847,89,4.6,0.043,4,0-14,Eletiva
2022,2,Hospital Santa Casa,Obstetrícia,39,0.741,56,5.9,0.036,0,50-64,Eletiva
2022,2,Hospital Santa Casa,Clínica Médica,24,0.531,23,2.9,0.069,0,65+,Urgência
2022,2,Hospital Regional Norte,Obstetrícia,62,0.622,77,7.7,0.124,0,0-14,Urgência
2022,2,Hospital Regional Norte,Cardiologia,43,0.572,62,2.0,0.02,2,30-49,Urgência
2022,2,Hospital Regional Norte,Ortopedia,49,0.541,50,7.1,0.125,0,0-14,Urgência
2022,2,Hospital Regional Sul,Ortopedia,21,0.614,28,5.6,0.061,1,30-49,Urgência
2022,2,Hospital Regional Sul,Neurologia,55,0.98,87,5.9,0.071,1,15-29,Urgência
2022,2,Hospital Regional Sul,Oncologia,61,0.689,64,2.9,0.069,2,15-29,Urgência
2022,2,Hospital Regional Sul,Cardiologia,62,0.602,85,4.1,,3,30-49,Urgência
2022,2,Hospital Regional Sul,Obstetrícia,64,0.622,73,6.1,0.074,1,65+,Eletiva
2022,2,Hospital Regional Sul,Cirurgia Geral,32,0.749,61,8.3,0.128,1,30-49,Urgência
2022,2,Hospital Universitário,Cardiologia,39,0.868,64,5.8,0.13,1,15-29,Urgência
2022,2,Hospital Universitário,Cirurgia Geral,26,0.829,47,3.2,0.056,1,0-14,Urgência
2022,2,Hospital Universitário,Pediatria,80,0.758,96,4.6,0.028,2,0-14,Eletiva
2022,2,Hospital Universitário,Neurologia,29,0.83,39,1.0,0.081,1,50-64,Eletiva
2022,2,Hospital Municipal Centro,Oncologia,56,0.601,87,3.1,0.106,2,15-29,Urgência
2022,2,Hospital Municipal Centro,Ortopedia,62,0.798,115,6.4,0.103,4,65+,Urgência
2022,2,Hospital Municipal Centro,Pediatria,38,0.817,59,5.9,0.09,1,15-29,Urgência
2022,2,Hospital Municipal Centro,Cardiologia,70,0.761,144,2.3,0.086,5,15-29,Eletiva
2022,2,Hospital Municipal Centro,Neurologia,78,0.713,88,6.9,0.094,0,65+,Urgência
2022,2,Hospital Municipal Centro,Cirurgia Geral,48,0.85,104,8.2,0.124,2,50-64,Urgência
2022,2,Hospital Municipal Leste,Clínica Médica,40,0.698,51,5.2,0.044,0,65+,Urgência
2022,2,Hospital Municipal Leste,Ortopedia,68,0.675,71,3.8,0.082,0,50-64,Urgência
2022,2,Hospital Municipal Leste,Obstetrícia,31,0.848,71,5.4,0.124,1,50-64,Urgência
2022,2,Hospital Maternidade Vida,Cirurgia Geral,64,0.543,73,5.6,0.081,1,0-14,Urgência
2022,2,Hospital Maternidade Vida,Neurologia,36,0.579,43,11.4,0.0,1,65+,Urgência
2022,2,Hospital Maternidade Vida,Oncologia,46,0.857,95,6.5,0.037,2,0-14,Eletiva
2022,2,Hospital Maternidade Vida,Pediatria,37,0.458,36,3.8,0.073,0,65+,Eletiva
2022,2,Hospital Maternidade Vida,Ortopedia,65,0.803,121,8.2,0.184,6,0-14,Urgência
2022,2,Hospital Pronto-Socorro 24h,Pediatria,38,0.624,65,5.4,0.11,1,65+,Eletiva
2022,2,Hospital Pronto-Socorro 24h,Ortopedia,44,0.779,89,8.6,0.09,3,50-64,Urgência
2022,2,Hospital Pronto-Socorro 24h,Obstetrícia,79,0.742,88,3.6,0.069,0,65+,Urgência
2022,2,Hospital Clínica Esperança,Oncologia,41,0.578,51,4.5,0.069,1,15-29,Urgência
2022,2,Hospital Clínica Esperança,Cardiologia,34,0.796,53,3.5,0.0,1,50-64,Urgência
2022,2,Hospital Clínica Esperança,Ortopedia,62,0.766,82,2.0,,2,65+,Urgência
2022,2,Hospital Clínica Esperança,Pediatria,75,0.907,112,8.3,0.086,3,15-29,Urgência
2022,2,Hospital Hospital do Coração,Cirurgia Geral,59,0.659,107,2.1,0.128,0,50-64,Urgência
2022,2,Hospital Hospital do Coração,Ortopedia,60,0.68,114,1.4,0.095,3,30-49,Eletiva
2022,2,Hospital Hospital do Coração,Pediatria,67,0.98,173,,0.075,4,15-29,Urgência
2022,2,Hospital Hospital do Coração,Obstetrícia,77,0.825,100,5.9,0.053,4,15-29,Urgência
2022,2,Hospital Oncológico,Pediatria,75,0.585,98,8.1,0.055,2,30-49,Urgência
2022,2,Hospital Oncológico,Cirurgia Geral,36,0.592,46,1.0,0.068,2,0-14,Urgência
2022,2,Hospital Oncológico,Clínica Médica,80,0.63,123,8.2,0.053,4,30-49,Eletiva
2022,2,Hospital Oncológico,Cardiologia,44,0.754,68,4.6,0.059,2,30-49,Urgência
2022,2,Hospital Infantil Anjo,Cardiologia,69,0.77,107,2.2,0.044,1,15-29,Urgência
2022,2,Hospital Infantil Anjo,Clínica Médica,77,0.696,143,5.0,0.117,4,15-29,Urgência
2022,2,Hospital Infantil Anjo,Oncologia,78,0.664,91,9.5,0.114,3,30-49,Urgência
2022,2,Hospital Infantil Anjo,Neurologia,73,0.856,182,10.3,0.113,4,30-49,Urgência
2022,2,Hospital Infantil Anjo,Ortopedia,49,0.784,113,5.2,0.121,1,50-64,Urgência
2022,2,Hospital Infantil Anjo,Cirurgia Geral,25,0.725,41,5.1,0.023,1,30-49,Urgência
2022,2,Hospital Ortopédico Plus,Cirurgia Geral,59,0.835,141,,0.083,4,50-64,Urgência
2022,2,Hospital Ortopédico Plus,Obstetrícia,61,0.665,118,6.2,0.064,5,0-14,Eletiva
2022,2,Hospital Ortopédico Plus,Oncologia,76,0.604,94,4.9,0.139,2,65+,Urgência
2022,2,Hospital Ortopédico Plus,Ortopedia,57,0.717,86,4.1,0.118,3,50-64,Urgência
2022,2,Hospital Ortopédico Plus,Clínica Médica,22,0.689,32,3.9,0.083,1,30-49,Urgência
2022,2,Hospital Saúde Mental,Neurologia,27,0.932,41,,0.093,2,0-14,Urgência
2022,2,Hospital Saúde Mental,Pediatria,70,0.54,101,12.0,0.101,5,65+,Eletiva
2022,2,Hospital Saúde Mental,Cirurgia Geral,57,0.771,87,10.4,0.132,4,0-14,Urgência
2022,3,Hospital São José,Pediatria,27,0.705,28,5.0,0.087,0,30-49,Urgência
2022,3,Hospital São José,Cardiologia,31,0.714,47,6.8,0.091,1,50-64,Urgência
2022,3,Hospital São José,Oncologia,52,0.611,58,4.0,0.032,0,65+,Urgência
2022,3,Hospital São José,Cirurgia Geral,49,0.701,103,5.0,0.104,1,0-14,Urgência
2022,3,Hospital Santa Casa,Cirurgia Geral,28,0.693,45,9.0,0.021,3,65+,Urgência
2022,3,Hospital Santa Casa,Clínica Médica,49,0.593,78,5.4,0.124,3,65+,Eletiva
2022,3,Hospital Santa Casa,Pediatria,47,0.638,60,6.0,,2,0-14,Urgência
2022,3,Hospital Santa Casa,Cardiologia,47,0.685,94,7.3,0.062,1,0-14,Urgência
2022,3,Hospital Santa Casa,Oncologia,25,0.54,27,7.2,0.09,0,65+,Urgência
2022,3,Hospital Santa Casa,Neurologia,62,0.801,123,7.1,0.08,0,0-14,Urgência
2022,3,Hospital Regional Norte,Obstetrícia,29,0.673,32,4.0,0.102,0,30-49,Eletiva
2022,3,Hospital Regional Norte,Clínica Médica,71,0.581,109,6.9,0.037,1,65+,Urgência
2022,3,Hospital Regional Norte,Cardiologia,58,0.924,101,3.5,0.106,5,30-49,Urgência
2022,3,Hospital Regional Norte,Oncologia,42,0.962,94,5.7,0.062,3,0-14,Urgência
2022,3,Hospital Regional Norte,Cirurgia Geral,67,0.606,88,5.0,0.099,3,30-49,Urgência
2022,3,Hospital Regional Sul,Pediatria,23,0.676,38,3.7,0.037,1,30-49,Eletiva
2022,3,Hospital Regional Sul,Cirurgia Geral,68,0.61,69,5.3,0.057,0,65+,Urgência
2022,3,Hospital Regional Sul,Cardiologia,22,0.784,27,12.6,0.107,1,15-29,Urgência
2022,3,Hospital Universitário,Obstetrícia,31,0.822,47,7.7,0.025,1,30-49,Urgência
2022,3,Hospital Universitário,Clínica Médica,45,0.743,51,4.9,0.15,0,65+,Urgência
2022,3,Hospital Universitário,Neurologia,56,0.578,62,7.5,0.0,3,15-29,Urgência
2022,3,Hospital Universitário,Ortopedia,73,0.678,106,3.3,0.114,4,50-64,Urgência
2022,3,Hospital Universitário,Cardiologia,45,0.856,70,2.5,0.083,1,0-14,Eletiva
