pedido_id,data_pedido,hora_pedido,vendedor_id,categoria,produto_id,preco_unitario,quantidade,valor_total,frete,estado_cliente,status_pedido,nota_avaliacao
PED-000001,2024-04-14,11:56,VEND-0105,Moda Feminina,PROD-0312,51.05,3,153.16,17.58,CE,Entregue,5.0
PED-000002,2024-08-08,12:19,VEND-0021,Moda Feminina,PROD-0080,83.45,1,83.45,37.69,BA,Devolvido,
PED-000003,2023-10-21,16:01,VEND-0004,Eletrônicos,PROD-0227,447.89,1,447.89,40.15,PE,Em trânsito,
PED-000004,2023-10-29,18:53,VEND-0083,Eletrônicos,PROD-0282,620.43,2,1240.86,10.89,MG,Entregue,5.0
PED-000005,2024-03-21,09:13,VEND-0025,Acessórios,PROD-0141,36.96,1,36.96,35.6,MA,Entregue,4.0
PED-000006,2023-04-23,15:13,VEND-0053,Eletrônicos,PROD-0296,276.97,1,276.97,14.28,RJ,Entregue,4.0
PED-000007,2023-12-31,17:21,VEND-0051,Casa & Decoração,PROD-0449,275.65,1,275.65,24.93,BA,Entregue,4.0
PED-000008,2023-04-11,10:51,VEND-0108,Moda Feminina,PROD-0124,164.52,1,164.52,44.59,GO,Entregue,5.0
PED-000009,2023-01-20,14:26,VEND-0039,Infantil,PROD-0453,116.94,1,116.94,30.1,RS,Em trânsito,
PED-000010,2023-09-11,15:06,VEND-0068,Beleza & Saúde,PROD-0321,110.75,2,221.5,12.03,SP,Devolvido,
PED-000011,2023-10-30,01:47,VEND-0082,Beleza & Saúde,PROD-0128,78.6,1,78.6,9.06,CE,Em trânsito,
PED-000012,2023-10-10,15:09,VEND-0110,Casa & Decoração,PROD-0291,283.14,1,283.14,12.23,MG,Entregue,5.0
PED-000013,2023-09-20,08:44,VEND-0029,Infantil,PROD-0252,101.92,2,203.85,18.88,RS,Entregue,5.0
PED-000014,2024-06-15,10:56,VEND-0010,Casa & Decoração,PROD-0394,181.79,1,181.79,40.83,GO,Entregue,4.0
PED-000015,2023-01-13,05:43,VEND-0043,Casa & Decoração,PROD-0030,393.71,1,393.71,32.76,CE,Devolvido,
PED-000016,2023-12-23,18:32,VEND-0052,Moda Feminina,PROD-0192,129.85,1,129.85,12.25,CE,Cancelado,
PED-000017,2023-06-02,11:24,VEND-0053,Acessórios,PROD-0270,40.51,1,40.51,33.11,RJ,Entregue,3.0
PED-000018,2023-01-10,12:39,VEND-0074,Eletrônicos,PROD-0186,337.68,1,337.68,38.75,CE,Devolvido,
PED-000019,2023-11-25,15:28,VEND-0007,Acessórios,PROD-0483,32.03,1,32.03,25.54,PR,Em trânsito,
PED-000020,2023-04-27,23:39,VEND-0030,Moda Feminina,PROD-0063,32.23,1,32.23,27.84,RJ,Devolvido,
