manutencao_id,veiculo_id,tipo_veiculo,ano_fabricacao,data_manutencao,tipo_manutencao,componente,custo_reais,tempo_parado_horas,km_odometro
MAN-00001,VEI-0155,Van,2020,2024-08-16,Preventiva,Motor,808.38,13.5,347535
MAN-00002,VEI-0118,Van,2019,2024-12-16,Preventiva,Suspensão,905.43,2.3,289062
MAN-00003,VEI-0015,Utilitário,2023,2024-12-12,Corretiva,Elétrica,458.1,38.8,311980
MAN-00004,VEI-0104,Caminhão,2015,2023-11-17,Corretiva,Pneus,1492.65,29.1,207405
MAN-00005,VEI-0087,Caminhão,2018,2024-03-10,Corretiva,Suspensão,1039.94,25.1,217398
MAN-00006,VEI-0098,Van,2021,2024-03-16,Corretiva,Direção,1042.7,,89732
MAN-00007,VEI-0051,Van,2016,2024-01-01,Corretiva,Suspensão,1679.35,21.6,316971
MAN-00008,VEI-0068,Utilitário,2023,2024-12-20,Corretiva,Transmissão,3407.05,31.2,71117
MAN-00009,VEI-0155,Van,2020,2024-09-06,Preventiva,Transmissão,3053.78,13.3,317906
MAN-00010,VEI-0017,Utilitário,2018,2024-08-24,Corretiva,Freios,563.77,26.0,129359
MAN-00011,VEI-0118,Van,2019,2024-08-29,Corretiva,Direção,1075.78,28.3,294957
MAN-00012,VEI-0194,Van,2020,2023-07-03,Corretiva,Elétrica,498.28,26.7,61362
MAN-00013,VEI-0046,Caminhão,2020,2024-12-28,Corretiva,Direção,819.31,29.4,214338
MAN-00014,VEI-0101,Van,2019,2024-04-25,Preventiva,Pneus,518.69,,274832
MAN-00015,VEI-0104,Caminhão,2015,2024-12-27,Preventiva,Pneus,1397.56,18.0,153046
MAN-00016,VEI-0129,Van,2019,2024-01-02,Preventiva,Freios,225.02,9.0,249650
MAN-00017,VEI-0146,Utilitário,2021,2024-08-20,Preventiva,Arrefecimento,352.62,,343440
MAN-00018,VEI-0029,Van,2021,2024-10-08,Preventiva,Pneus,1083.71,6.2,62531
MAN-00019,VEI-0152,Caminhão,2021,2024-06-04,Corretiva,Motor,3504.49,25.4,69772
MAN-00020,VEI-0153,Van,2015,2024-12-23,Corretiva,Elétrica,472.23,16.0,280055
MAN-00021,VEI-0038,Utilitário,2022,2024-02-10,Corretiva,Elétrica,933.85,26.9,228476
MAN-00022,VEI-0153,Van,2015,2023-07-18,Preventiva,Arrefecimento,547.83,16.5,249802
MAN-00023,VEI-0169,Van,2017,2024-03-26,Corretiva,Suspensão,1140.71,29.7,205278
MAN-00024,VEI-0042,Caminhão,2022,2024-10-14,Preventiva,Elétrica,654.63,4.4,179673
MAN-00025,VEI-0186,Caminhão,2021,2023-10-23,Corretiva,Motor,1448.72,34.3,353191
MAN-00026,VEI-0117,Van,2016,2024-05-14,Corretiva,Elétrica,271.56,21.5,132218
MAN-00027,VEI-0053,Van,2022,2023-10-05,Corretiva,Elétrica,844.25,21.9,98278
MAN-00028,VEI-0019,Van,2015,2023-11-24,Corretiva,Direção,1221.82,28.2,184074
MAN-00029,VEI-0192,Caminhão,2022,2024-05-24,Corretiva,Suspensão,1199.37,24.3,232871
MAN-00030,VEI-0018,Caminhão,2019,2024-06-08,Corretiva,Motor,1099.29,23.0,243513
MAN-00031,VEI-0001,Van,2019,2024-04-24,Preventiva,Motor,1425.68,7.7,366653
MAN-00032,VEI-0171,Caminhão,2019,2024-02-16,Preventiva,Elétrica,257.05,9.4,322639
MAN-00033,VEI-0056,Utilitário,2018,2024-03-27,Corretiva,Arrefecimento,834.13,17.4,51796
MAN-00034,VEI-0082,Caminhão,2019,2024-03-24,Preventiva,Direção,851.33,15.0,26573
MAN-00035,VEI-0102,Caminhão,2017,2023-11-08,Corretiva,Transmissão,2069.5,23.2,117659
MAN-00036,VEI-0048,Utilitário,2022,2024-12-15,Preventiva,Pneus,568.33,5.3,129296
MAN-00037,VEI-0145,Utilitário,2022,2024-01-19,Corretiva,Direção,1115.7,27.3,134078
MAN-00038,VEI-0152,Caminhão,2021,2024-07-01,Corretiva,Suspensão,1313.74,21.9,123655
MAN-00039,VEI-0194,Van,2020,2024-08-12,Corretiva,Pneus,2000.67,22.2,63733
MAN-00040,VEI-0163,Van,2017,2024-11-30,Corretiva,Transmissão,785.15,20.2,22841
MAN-00041,VEI-0164,Van,2017,2024-11-30,Corretiva,Transmissão,1368.71,32.9,161277
MAN-00042,VEI-0103,Utilitário,2023,2023-08-26,Preventiva,Transmissão,2563.21,2.1,250002
MAN-00043,VEI-0199,Van,2022,2023-09-04,Preventiva,Pneus,1138.25,15.8,350515
MAN-00044,VEI-0169,Van,2017,2023-07-18,Corretiva,Elétrica,474.24,36.1,201065
MAN-00045,VEI-0185,Van,2020,2024-06-14,Corretiva,Transmissão,4227.21,19.8,158293
MAN-00046,VEI-0146,Utilitário,2021,2024-03-04,Corretiva,Transmissão,3072.25,33.0,321825
MAN-00047,VEI-0001,Van,2019,2024-10-24,Corretiva,Arrefecimento,666.56,26.7,343376
MAN-00048,VEI-0111,Caminhão,2020,2024-04-04,Preventiva,Motor,2066.67,16.5,202774
MAN-00049,VEI-0081,Caminhão,2015,2024-11-03,Preventiva,Suspensão,517.72,4.7,91255
MAN-00050,VEI-0144,Utilitário,2018,2023-10-18,Corretiva,Elétrica,570.96,23.4,97383
MAN-00051,VEI-0161,Van,2018,2024-06-01,Preventiva,Suspensão,1579.3,,177165
MAN-00052,VEI-0187,Caminhão,2022,2024-10-12,Corretiva,Pneus,1389.99,22.1,271681
MAN-00053,VEI-0099,Utilitário,2023,2023-11-17,Corretiva,Suspensão,756.66,27.9,244240
MAN-00054,VEI-0155,Van,2020,2024-04-21,Corretiva,Arrefecimento,1055.81,27.0,324295
MAN-00055,VEI-0091,Van,2020,2024-08-29,Preventiva,Pneus,839.05,17.8,97809
MAN-00056,VEI-0199,Van,2022,2023-11-15,Preventiva,Freios,144.12,6.1,295043
MAN-00057,VEI-0082,Caminhão,2019,2024-06-07,Preventiva,Direção,386.05,12.7,36653
MAN-00058,VEI-0140,Caminhão,2023,2023-11-02,Corretiva,Suspensão,1408.56,26.2,217044
MAN-00059,VEI-0151,Van,2016,2023-10-25,Preventiva,Pneus,655.34,1.7,87538
MAN-00060,VEI-0186,Caminhão,2021,2023-12-24,Preventiva,Motor,50.0,2.9,297938
MAN-00061,VEI-0087,Caminhão,2018,2024-04-18,Preventiva,Direção,578.41,17.4,265894
MAN-00062,VEI-0049,Caminhão,2016,2024-01-17,Corretiva,Direção,530.04,19.6,140563
MAN-00063,VEI-0089,Caminhão,2022,2023-07-31,Corretiva,Direção,1288.86,16.1,377997
MAN-00064,VEI-0145,Utilitário,2022,2024-12-18,Preventiva,Pneus,509.32,1.0,177132
MAN-00065,VEI-0137,Utilitário,2019,2024-09-29,Corretiva,Pneus,1171.32,27.4,32526
MAN-00066,VEI-0193,Caminhão,2020,2024-07-06,Preventiva,Suspensão,743.73,13.8,121240
MAN-00067,VEI-0187,Caminhão,2022,2023-09-11,Corretiva,Freios,775.31,23.6,284093
MAN-00068,VEI-0069,Caminhão,2016,2024-01-15,Corretiva,Suspensão,913.96,31.6,84698
MAN-00069,VEI-0073,Caminhão,2021,2024-11-18,Corretiva,Freios,904.93,21.4,273052
MAN-00070,VEI-0194,Van,2020,2024-07-03,Preventiva,Suspensão,428.4,,43690
MAN-00071,VEI-0193,Caminhão,2020,2024-07-19,Preventiva,Motor,1741.34,4.6,133820
MAN-00072,VEI-0138,Van,2016,2023-08-13,Corretiva,Elétrica,1152.36,29.5,223827
MAN-00073,VEI-0018,Caminhão,2019,2024-03-25,Corretiva,Elétrica,308.03,22.8,261229
MAN-00074,VEI-0092,Caminhão,2023,2024-10-05,Corretiva,Freios,799.55,15.5,363711
MAN-00075,VEI-0145,Utilitário,2022,2024-10-21,Preventiva,Arrefecimento,157.65,4.4,141585
MAN-00076,VEI-0085,Caminhão,2016,2024-05-10,Corretiva,Direção,968.54,10.0,230854
MAN-00077,VEI-0119,Van,2019,2024-10-22,Corretiva,Arrefecimento,786.08,20.9,194672
MAN-00078,VEI-0009,Utilitário,2019,2024-11-16,Preventiva,Pneus,98.25,15.0,226038
MAN-00079,VEI-0182,Utilitário,2020,2024-01-09,Corretiva,Pneus,1540.37,30.1,85444
MAN-00080,VEI-0069,Caminhão,2016,2024-05-26,Corretiva,Arrefecimento,995.32,30.6,34901
MAN-00081,VEI-0005,Utilitário,2015,2024-11-12,Preventiva,Freios,518.59,13.7,80002
MAN-00082,VEI-0044,Utilitário,2019,2024-08-14,Corretiva,Transmissão,2867.79,34.4,172759
MAN-00083,VEI-0053,Van,2022,2024-07-24,Corretiva,Freios,1008.06,17.6,110454
MAN-00084,VEI-0124,Van,2016,2023-07-26,Preventiva,Motor,1269.72,1.0,330241
MAN-00085,VEI-0005,Utilitário,2015,2024-08-19,Preventiva,Transmissão,1383.96,5.3,50940
MAN-00086,VEI-0135,Utilitário,2023,2023-11-04,Preventiva,Pneus,1360.87,,41531
MAN-00087,VEI-0074,Caminhão,2022,2024-06-07,Corretiva,Suspensão,1059.99,20.0,200312
MAN-00088,VEI-0084,Utilitário,2022,2024-02-26,Corretiva,Direção,31893.13,21.4,174456
MAN-00089,VEI-0161,Van,2018,2023-12-01,Corretiva,Pneus,1690.65,25.0,211968
MAN-00090,VEI-0059,Van,2016,2024-04-25,Corretiva,Transmissão,2183.68,32.1,42117
MAN-00091,VEI-0025,Caminhão,2018,2023-08-03,Preventiva,Transmissão,653.51,5.7,246394
MAN-00092,VEI-0036,Caminhão,2016,2023-12-05,Corretiva,Pneus,611.71,21.9,87267
MAN-00093,VEI-0090,Utilitário,2022,2023-11-07,Corretiva,Motor,1260.62,29.7,107970
MAN-00094,VEI-0019,Van,2015,2024-03-26,Corretiva,Freios,800.21,32.4,169654
MAN-00095,VEI-0106,Caminhão,2020,2024-07-04,Corretiva,Suspensão,1671.45,,221689
MAN-00096,VEI-0099,Utilitário,2023,2024-05-21,Corretiva,Direção,728.83,23.0,227242
MAN-00097,VEI-0093,Van,2018,2024-08-17,Corretiva,Motor,2186.44,22.2,266238
MAN-00098,VEI-0097,Van,2015,2024-12-16,Preventiva,Freios,306.95,10.6,216287
MAN-00099,VEI-0113,Caminhão,2020,2023-10-12,Preventiva,Suspensão,1152.69,1.8,233997
MAN-00100,VEI-0004,Caminhão,2020,2024-10-14,Corretiva,Transmissão,3459.81,17.6,143210
MAN-00101,VEI-0086,Caminhão,2016,2024-09-26,Corretiva,Freios,686.21,18.8,242688
MAN-00102,VEI-0100,Van,2021,2023-08-27,Corretiva,Pneus,1300.27,21.8,267851
