licitacao_id,municipio,ano,objeto,valor_contrato,modalidade,empresa_vencedora,cnpj_vencedora,socio_principal,endereco_empresa,numero_participantes,status
LIC-00001,Fortaleza,2020,Limpeza urbana,242190.64,Dispensa,Empresa Sul Engenharia,43.818.836/0001-99,Sócio 21,"Rua 21, 54",7,Concluído
LIC-00002,Fortaleza,2020,Serviços de consultoria,169758.68,Pregão,Empresa Rio Engenharia,87.978.140/0001-71,Sócio 29,"Rua 29, 12",6,Atrasado
LIC-00003,Fortaleza,2021,Aquisição de equipamentos,218230.07,Pregão,Empresa Norte Construções,12.819.190/0001-68,Sócio 14,"Rua 14, 191",8,Concluído
LIC-00004,Fortaleza,2022,Transporte escolar,240077.26,Dispensa,Empresa Rio Engenharia,52.643.772/0001-62,Sócio 11,"Rua 11, 103",3,Concluído
LIC-00005,Fortaleza,2021,Aquisição de equipamentos,160735.22,Dispensa,Empresa Norte Serviços,50.167.643/0001-35,Sócio 13,"Rua 13, 490",4,Concluído
LIC-00006,Fortaleza,2020,Construção de escola,30000.0,Pregão,Empresa Norte Serviços,33.395.898/0001-70,Sócio 1,"Rua 1, 398",6,Atrasado
LIC-00007,Fortaleza,2021,Aquisição de equipamentos,154716.02,Dispensa,Empresa Sul Soluções,64.132.607/0001-37,Sócio 6,"Rua 6, 392",8,Concluído
LIC-00008,Fortaleza,2021,Reforma de UBS,30000.0,Concorrência,Empresa Terra Serviços,30.650.774/0001-26,Sócio 22,"Rua 22, 417",4,Atrasado
LIC-00009,Fortaleza,2023,Reforma de UBS,280502.6,Pregão,Empresa Norte Construções,12.819.190/0001-68,Sócio 14,"Rua 14, 191",4,Concluído
LIC-00010,Fortaleza,2020,Transporte escolar,30000.0,Dispensa,Empresa Sol Soluções,23.119.597/0001-77,Sócio 2,"Rua 2, 67",5,Em execução
LIC-00011,Fortaleza,2022,Limpeza urbana,258648.18,Dispensa,Empresa Norte Construções,61.392.872/0001-32,Sócio 26,"Rua 26, 482",8,Concluído
LIC-00012,Caucaia,2023,Limpeza urbana,104269.64,Dispensa,Empresa Norte Serviços,33.395.898/0001-70,Sócio 1,"Rua 1, 398",4,Concluído
LIC-00013,Caucaia,2023,Fornecimento de merenda,204551.92,Tomada de Preços,Empresa Sul Soluções,64.132.607/0001-37,Sócio 6,"Rua 6, 392",8,Em execução
LIC-00014,Caucaia,2023,Transporte escolar,239668.45,Dispensa,Empresa Rio Construções,25.670.464/0001-44,Sócio 30,"Rua 30, 412",8,Em execução
LIC-00015,Caucaia,2022,Fornecimento de merenda,293059.45,Pregão,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",5,Concluído
LIC-00016,Caucaia,2023,Reforma de UBS,177822.56,Concorrência,Empresa Terra Serviços,30.650.774/0001-26,Sócio 22,"Rua 22, 417",3,Concluído
LIC-00017,Caucaia,2023,Manutenção predial,216676.92,Tomada de Preços,Empresa Sol Soluções,17.380.177/0001-62,Sócio 16,"Rua 16, 150",5,Em execução
LIC-00018,Caucaia,2022,Limpeza urbana,217726.23,Concorrência,Empresa Rio Engenharia,87.978.140/0001-71,Sócio 29,"Rua 29, 12",6,Concluído
LIC-00019,Caucaia,2023,Limpeza urbana,204749.22,Tomada de Preços,Empresa Norte Serviços,33.395.898/0001-70,Sócio 1,"Rua 1, 398",8,Atrasado
LIC-00020,Caucaia,2021,Transporte escolar,249199.29,Dispensa,Empresa Terra Construções,37.314.755/0001-77,Sócio 7,"Rua 7, 44",6,Concluído
LIC-00021,Caucaia,2023,Fornecimento de merenda,154422.17,Tomada de Preços,Empresa Norte Serviços,50.167.643/0001-35,Sócio 13,"Rua 13, 490",7,Concluído
LIC-00022,Caucaia,2022,Material didático,335103.03,Dispensa,Empresa Norte Engenharia,85.387.857/0001-56,Sócio 3,"Rua 3, 415",3,Concluído
LIC-00023,Caucaia,2021,Aquisição de equipamentos,42996.11,Pregão,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",5,Concluído
LIC-00024,Caucaia,2020,Limpeza urbana,230853.08,Dispensa,Empresa Terra Engenharia,86.621.839/0001-57,Sócio 24,"Rua 24, 490",6,Concluído
LIC-00025,Caucaia,2023,Reforma de UBS,129398.49,Pregão,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",3,Em execução
