municipio,ano,programa,valor_repassado,valor_executado_declarado,fonte
Fortaleza,2020,Infraestrutura,976796.57,946482.89,SUS
Fortaleza,2020,Educação Fundamental,493092.51,442883.17,FUNDEB
Fortaleza,2020,Cultura,595753.94,581483.42,SUS
Fortaleza,2021,Esporte,436536.74,372893.76,SUS
Fortaleza,2021,Cultura,337169.63,322186.75,FPM
Fortaleza,2021,Infraestrutura,284328.35,269131.57,Emenda Parlamentar
Fortaleza,2021,Saneamento,549244.31,469616.25,SUS
Fortaleza,2022,Educação Fundamental,778126.61,741291.03,SUS
Fortaleza,2022,Saneamento,310260.43,283237.02,PAC
Fortaleza,2022,Esporte,469770.99,429587.61,PAC
Fortaleza,2022,Assistência Social,645951.21,585258.09,PAC
Fortaleza,2022,Cultura,341539.13,312429.11,SUS
Fortaleza,2022,Saúde Básica,261205.66,236942.82,SUS
Fortaleza,2023,Saúde Básica,96357.93,92726.58,FPM
Fortaleza,2023,Infraestrutura,160207.63,139286.79,SUS
Fortaleza,2023,Assistência Social,371803.3,353107.43,FUNDEB
Caucaia,2020,Infraestrutura,917506.82,873440.71,FUNDEB
Caucaia,2020,Assistência Social,332294.02,304213.53,SUS
Caucaia,2020,Saneamento,396953.36,353540.84,FUNDEB
Caucaia,2020,Saúde Básica,336810.35,308133.01,FPM
Caucaia,2020,Esporte,945051.87,839901.94,PAC
Caucaia,2020,Educação Fundamental,445448.49,441990.65,FUNDEB
Caucaia,2021,Esporte,531965.74,472475.71,FUNDEB
Caucaia,2021,Infraestrutura,499416.74,479985.44,Emenda Parlamentar
Caucaia,2021,Educação Fundamental,657805.16,585873.99,PAC
Caucaia,2021,Cultura,786884.23,749281.95,Emenda Parlamentar
Caucaia,2021,Assistência Social,838127.43,761987.86,FUNDEB
Caucaia,2021,Saneamento,432099.83,413569.65,PAC
Caucaia,2022,Saneamento,390709.38,343701.03,PAC
Caucaia,2022,Infraestrutura,310540.45,281667.11,FUNDEB
Caucaia,2022,Cultura,606373.04,567276.54,FPM
Caucaia,2022,Saúde Básica,409718.2,365989.18,SUS
Caucaia,2022,Educação Fundamental,579162.26,514938.01,SUS
Caucaia,2022,Assistência Social,513133.25,480370.47,FUNDEB
Caucaia,2023,Saneamento,596308.45,594842.46,SUS
Caucaia,2023,Infraestrutura,238795.28,216677.36,SUS
Caucaia,2023,Esporte,157909.17,148133.97,Emenda Parlamentar
Juazeiro do Norte,2020,Educação Fundamental,392878.2,346350.75,FUNDEB
Juazeiro do Norte,2020,Saneamento,466162.02,418166.49,FUNDEB
Juazeiro do Norte,2020,Esporte,808126.8,748538.1,FPM
Juazeiro do Norte,2020,Saúde Básica,373965.35,318778.44,PAC
Juazeiro do Norte,2021,Saneamento,405488.11,402322.94,SUS
Juazeiro do Norte,2021,Esporte,101447.74,89428.14,FUNDEB
Juazeiro do Norte,2021,Saúde Básica,386289.3,378038.97,SUS
Juazeiro do Norte,2021,Educação Fundamental,335330.56,325393.67,Emenda Parlamentar
