ano,mes,unidade,especialidade,leitos_disponiveis,taxa_ocupacao,internacoes,tempo_medio_internacao_dias,taxa_reinternacao_30d,obitos,custo_medio_internacao,faixa_etaria_predominante,tipo_internacao
2022,1,Hospital São José,Clínica Médica,35,0.753,66,9.5,0.093,1,3283.04,15-29,Eletiva
2022,1,Hospital São José,Obstetrícia,52,0.734,91,46.3,0.056,2,2505.42,50-64,Urgência
2022,1,Hospital São José,Pediatria,71,0.858,105,2.4,0.051,3,3867.16,0-14,Urgência
2022,1,Hospital Santa Casa,Cirurgia Geral,66,0.919,132,9.5,0.144,5,3895.81,65+,Urgência
2022,1,Hospital Santa Casa,Pediatria,56,0.736,102,6.4,0.097,0,4733.12,50-64,Urgência
2022,1,Hospital Santa Casa,Neurologia,49,0.53,63,3.9,0.109,2,4262.76,0-14,Eletiva
2022,1,Hospital Santa Casa,Cardiologia,54,0.711,79,4.0,0.137,2,2077.04,0-14,Eletiva
2022,1,Hospital Santa Casa,Obstetrícia,72,0.656,73,4.7,0.109,2,5821.41,30-49,Eletiva
2022,1,Hospital Santa Casa,Clínica Médica,61,0.471,70,5.5,0.094,2,3460.83,65+,Urgência
2022,1,Hospital Regional Norte,Obstetrícia,16,0.571,68,7.5,0.131,1,6515.66,50-64,Urgência
2022,1,Hospital Regional Norte,Cirurgia Geral,15,0.695,105,4.4,,1,6022.49,30-49,Eletiva
2022,1,Hospital Regional Norte,Neurologia,18,0.788,114,3.3,0.038,5,10646.94,65+,Urgência
2022,1,Hospital Regional Norte,Cardiologia,25,0.662,131,5.6,0.09,2,6630.61,50-64,Urgência
2022,1,Hospital Regional Norte,Ortopedia,32,0.875,199,2.4,0.088,5,11571.57,15-29,Eletiva
2022,1,Hospital Regional Norte,Clínica Médica,24,0.576,107,7.7,0.051,3,8072.21,65+,Eletiva
2022,1,Hospital Regional Sul,Cirurgia Geral,23,0.73,30,9.6,0.036,1,3817.52,50-64,Eletiva
2022,1,Hospital Regional Sul,Obstetrícia,54,0.909,115,9.8,0.011,3,3729.73,0-14,Urgência
2022,1,Hospital Regional Sul,Neurologia,42,0.647,58,1.5,0.093,0,947.98,0-14,Urgência
2022,1,Hospital Universitário,Obstetrícia,54,0.601,62,6.3,0.08,3,1637.7,65+,Urgência
2022,1,Hospital Universitário,Neurologia,23,0.803,45,5.1,0.078,2,4425.6,15-29,Eletiva
2022,1,Hospital Universitário,Clínica Médica,46,0.637,61,5.7,0.116,2,4281.72,50-64,Urgência
2022,1,Hospital Universitário,Cirurgia Geral,47,0.711,85,5.0,0.011,1,2517.72,15-29,Urgência
2022,1,Hospital Universitário,Cardiologia,33,0.875,66,4.9,0.08,1,2479.29,65+,Eletiva
2022,1,Hospital Universitário,Oncologia,23,0.648,43,6.9,0.092,0,2656.76,15-29,Urgência
2022,1,Hospital Municipal Centro,Ortopedia,22,0.628,32,3.7,0.0,0,3949.88,15-29,Urgência
2022,1,Hospital Municipal Centro,Cardiologia,45,0.903,68,3.8,0.045,4,2489.36,0-14,Urgência
2022,1,Hospital Municipal Centro,Neurologia,59,0.98,93,5.4,0.087,3,5384.04,15-29,Urgência
2022,1,Hospital Municipal Leste,Pediatria,32,0.619,132,6.7,0.072,4,8345.76,30-49,Urgência
2022,1,Hospital Municipal Leste,Ortopedia,21,0.704,104,3.8,0.0,3,7861.66,30-49,Urgência
2022,1,Hospital Municipal Leste,Cardiologia,25,0.677,152,5.2,0.146,2,5714.7,0-14,Eletiva
2022,1,Hospital Municipal Leste,Oncologia,16,0.8,59,2.7,0.049,3,9880.65,15-29,Eletiva
2022,1,Hospital Municipal Leste,Clínica Médica,18,0.492,56,10.3,0.004,1,2397.07,15-29,Eletiva
2022,1,Hospital Maternidade Vida,Clínica Médica,75,0.712,92,3.6,0.068,1,4594.77,15-29,Urgência
2022,1,Hospital Maternidade Vida,Cirurgia Geral,42,0.753,61,6.0,0.052,2,3597.05,30-49,Urgência
2022,1,Hospital Maternidade Vida,Obstetrícia,75,0.907,137,7.3,0.02,3,3997.86,0-14,Urgência
2022,1,Hospital Maternidade Vida,Pediatria,76,0.63,141,8.3,0.172,4,3976.78,50-64,Urgência
2022,1,Hospital Maternidade Vida,Ortopedia,66,0.749,147,2.9,0.144,7,3610.79,50-64,Urgência
2022,1,Hospital Maternidade Vida,Cardiologia,53,0.754,115,1.6,0.065,3,2011.56,30-49,Urgência
2022,1,Hospital Pronto-Socorro 24h,Obstetrícia,62,0.831,100,2.2,0.065,4,2815.31,15-29,Eletiva
2022,1,Hospital Pronto-Socorro 24h,Cardiologia,46,0.778,89,2.5,0.126,3,4652.55,50-64,Urgência
2022,1,Hospital Pronto-Socorro 24h,Pediatria,39,0.691,63,8.1,0.055,1,2851.87,50-64,Eletiva
2022,1,Hospital Clínica Esperança,Cardiologia,34,0.75,190,5.5,0.02,6,7555.46,15-29,Urgência
2022,1,Hospital Clínica Esperança,Oncologia,17,0.48,67,6.9,0.05,2,10706.69,0-14,Urgência
2022,1,Hospital Clínica Esperança,Obstetrícia,20,0.866,163,2.4,0.091,5,6149.35,50-64,Urgência
2022,1,Hospital Hospital do Coração,Neurologia,75,0.628,88,5.8,0.036,0,2108.63,30-49,Urgência
2022,1,Hospital Hospital do Coração,Oncologia,24,0.698,43,5.7,0.116,1,3244.77,15-29,Eletiva
2022,1,Hospital Hospital do Coração,Cardiologia,44,0.655,46,1.8,0.038,1,2912.35,50-64,Urgência
2022,1,Hospital Hospital do Coração,Ortopedia,77,0.761,155,6.0,0.077,6,2607.59,50-64,Urgência
2022,1,Hospital Hospital do Coração,Cirurgia Geral,80,0.6,133,8.9,0.12,3,3480.38,65+,Eletiva
2022,1,Hospital Hospital do Coração,Pediatria,51,0.569,53,4.9,0.084,0,4792.36,50-64,Eletiva
2022,1,Hospital Oncológico,Pediatria,56,0.694,83,4.6,0.097,1,3443.21,50-64,Urgência
2022,1,Hospital Oncológico,Cardiologia,41,0.827,89,2.5,0.126,3,2836.29,0-14,Urgência
2022,1,Hospital Oncológico,Neurologia,21,0.72,44,4.7,0.082,1,3776.41,0-14,Eletiva
2022,1,Hospital Oncológico,Clínica Médica,32,0.711,62,4.2,0.06,1,3581.51,15-29,Urgência
2022,1,Hospital Oncológico,Ortopedia,64,0.715,110,7.9,0.142,2,3603.91,30-49,Urgência
2022,1,Hospital Oncológico,Oncologia,57,0.649,56,4.1,0.136,2,3238.84,15-29,Urgência
2022,1,Hospital Infantil Anjo,Cirurgia Geral,71,0.97,184,10.5,0.056,7,2683.96,30-49,Urgência
2022,1,Hospital Infantil Anjo,Obstetrícia,74,0.824,129,2.8,0.083,1,5105.57,50-64,Eletiva
2022,1,Hospital Infantil Anjo,Pediatria,47,0.785,91,8.2,0.013,0,3672.45,65+,Urgência
2022,1,Hospital Infantil Anjo,Cardiologia,40,0.587,65,6.0,0.065,2,2993.77,50-64,Urgência
2022,1,Hospital Ortopédico Plus,Clínica Médica,33,0.663,42,7.0,0.012,0,2367.54,15-29,Urgência
2022,1,Hospital Ortopédico Plus,Ortopedia,35,0.67,60,1.3,0.085,1,2158.21,50-64,Urgência
2022,1,Hospital Ortopédico Plus,Pediatria,70,0.82,120,5.7,0.082,6,2636.44,30-49,Urgência
2022,1,Hospital Ortopédico Plus,Cirurgia Geral,67,0.832,129,3.9,0.115,3,4178.63,15-29,Urgência
2022,1,Hospital Ortopédico Plus,Neurologia,27,0.707,48,1.0,0.104,2,3278.81,65+,Urgência
2022,1,Hospital Saúde Mental,Ortopedia,43,0.878,66,8.6,0.084,1,6174.44,65+,Urgência
2022,1,Hospital Saúde Mental,Pediatria,64,0.881,148,4.3,0.085,4,3255.63,30-49,Eletiva
2022,1,Hospital Saúde Mental,Cirurgia Geral,23,0.854,36,6.3,0.065,1,3964.35,65+,Urgência
2022,2,Hospital São José,Pediatria,25,0.78,51,5.5,0.024,0,3685.04,50-64,Urgência
2022,2,Hospital São José,Neurologia,39,0.864,94,7.6,0.078,1,2554.63,0-14,Eletiva
2022,2,Hospital São José,Cardiologia,60,0.763,79,9.1,0.087,2,4594.15,65+,Urgência
2022,2,Hospital São José,Oncologia,38,0.722,42,5.0,0.112,1,3203.29,15-29,Urgência
2022,2,Hospital Santa Casa,Neurologia,61,0.776,81,7.1,,3,1958.0,30-49,Urgência
2022,2,Hospital Santa Casa,Clínica Médica,27,0.594,35,4.7,0.118,0,4734.03,50-64,Urgência
2022,2,Hospital Santa Casa,Cardiologia,58,0.844,97,6.2,0.08,3,5347.2,65+,Urgência
2022,2,Hospital Santa Casa,Cirurgia Geral,68,0.666,113,5.4,0.091,3,2373.2,50-64,Urgência
2022,2,Hospital Regional Norte,Neurologia,26,0.631,74,6.7,0.04,2,6931.6,0-14,Urgência
2022,2,Hospital Regional Norte,Obstetrícia,25,0.616,74,6.2,0.001,2,8326.94,50-64,Urgência
2022,2,Hospital Regional Norte,Ortopedia,21,0.554,82,5.1,0.11,2,9812.38,50-64,Urgência
2022,2,Hospital Regional Norte,Clínica Médica,35,0.793,188,7.2,0.122,4,8375.2,0-14,Urgência
2022,2,Hospital Regional Sul,Pediatria,38,0.624,65,5.4,0.11,1,2566.89,65+,Eletiva
2022,2,Hospital Regional Sul,Ortopedia,75,0.683,82,6.2,0.002,1,4987.25,30-49,Urgência
2022,2,Hospital Regional Sul,Obstetrícia,38,0.686,61,1.0,0.037,0,2413.38,30-49,Urgência
2022,2,Hospital Universitário,Obstetrícia,74,0.766,150,9.5,0.098,3,1745.23,50-64,Eletiva
2022,2,Hospital Universitário,Neurologia,51,0.781,117,5.2,0.071,4,3757.72,50-64,Urgência
2022,2,Hospital Universitário,Cirurgia Geral,66,0.675,76,10.1,0.003,4,4290.16,30-49,Urgência
2022,2,Hospital Universitário,Oncologia,59,0.659,107,,0.128,0,2863.83,50-64,Urgência
2022,2,Hospital Universitário,Ortopedia,59,0.792,74,1.7,0.014,4,3473.2,50-64,Urgência
2022,2,Hospital Universitário,Clínica Médica,68,0.557,82,1.7,0.05,0,5209.5,30-49,Urgência
2022,2,Hospital Municipal Centro,Neurologia,56,0.781,110,6.2,0.102,2,2876.48,15-29,Urgência
2022,2,Hospital Municipal Centro,Cirurgia Geral,78,0.644,123,4.6,0.023,4,4400.67,30-49,Eletiva
2022,2,Hospital Municipal Centro,Oncologia,24,0.64,33,3.6,0.124,0,2694.76,30-49,Urgência
2022,2,Hospital Municipal Centro,Cardiologia,74,0.572,117,14.6,0.111,4,2970.32,30-49,Urgência
2022,2,Hospital Municipal Centro,Ortopedia,73,0.798,144,5.0,0.131,2,1980.24,0-14,Urgência
2022,2,Hospital Municipal Leste,Ortopedia,23,0.636,135,1.9,0.02,0,6281.11,65+,Urgência
2022,2,Hospital Municipal Leste,Cardiologia,19,0.638,55,5.5,0.055,2,10959.76,65+,Urgência
2022,2,Hospital Municipal Leste,Pediatria,20,0.71,115,10.2,0.079,1,10296.66,15-29,Urgência
2022,2,Hospital Municipal Leste,Cirurgia Geral,32,0.924,221,8.6,0.084,1,8898.59,65+,Urgência
2022,2,Hospital Municipal Leste,Neurologia,35,0.773,126,,,2,7578.92,50-64,Urgência
2022,2,Hospital Maternidade Vida,Cirurgia Geral,27,0.677,30,6.5,0.066,0,3927.89,65+,Urgência
