pedido_id,data_pedido,hora_pedido,categoria,produto_id,preco_unitario,quantidade,valor_total,frete,estado_cliente,status_pedido,nota_avaliacao
PED-000001,2023-09-30,09:25,Moda Masculina,PROD-0455,220.05 ,2,440.09,23.58,PR,Em trânsito,
PED-000002,2023-01-20,20:51,Acessórios,PROD-0482,71.21,1,71.21,32.41,RJ,Entregue,5.0
PED-000003,2023-02-03,10:12,Moda Masculina,PROD-0226,105.61,1,105.61,39.52,RJ,Entregue,5.0
PED-000004,2023-06-13,14:50,Eletrônicos,PROD-0017,485.23,2,970.45,43.32,PB,Entregue,4.0
PED-000005,2024-02-12,17:20,Moda Masculina,PROD-0310,93.15,2,186.3,9.35,CE,Cancelado,
PED-000006,2023-08-13,17:14,Moda Feminina,PROD-0441,182.77,3,548.31,12.21,PE,Em trânsito,
PED-000007,2023-03-31,08:36,Moda Feminina,PROD-0426,111.32,3,333.97,7.38,SP,Devolvido,
PED-000008,2024-03-16,16:28,Eletrônicos,PROD-0106,495.96,1,495.96,,SP,Entregue,4.0
PED-000009,2024-08-25,13:39,Esporte & Lazer,PROD-0002,294.09,1,294.09,17.05,BA,Devolvido,
PED-000010,2024-03-04,17:23,Beleza & Saúde,PROD-0473,87.51,1,87.51,31.6,GO,Entregue,4.0
PED-000011,2023-04-16,14:53,Beleza & Saúde,PROD-0017,107.73,2,215.45,14.53,BA,Entregue,5.0
PED-000012,2023-10-14,10:36,Infantil,PROD-0106,143.43,1,143.43,12.7,BA,Entregue,4.0
PED-000013,2023-06-27,00:10,Moda Masculina,PROD-0499,182.97,1,182.97,18.76,CE,Cancelado,
PED-000014,2023-03-02,07:56,Esporte & Lazer,PROD-0259,237.4,1,237.4,,SE,Entregue,3.0
PED-000015,2024-07-21,18:18,Esporte & Lazer,PROD-0471,223.17,1,223.17,14.85,CE,Entregue,4.0
PED-000016,2023-06-17,15:08,Moda Feminina,PROD-0404,197.85,1,197.85,38.27,MG,Entregue,2.0
PED-000017,2023-10-03,17:05,Moda Feminina,PROD-0314,79.39,1,79.39,41.31,MG,Cancelado,
PED-000018,2024-09-07,15:03,Moda Feminina,PROD-0302,134.81,1,134.81,23.39,CE,Entregue,2.0
PED-000019,2024-01-16,10:04,Infantil,PROD-0408,30.27,1,30.27,18.68,SP,Entregue,5.0
PED-000020,2023-04-11,15:11,Eletrônicos,PROD-0370,246.23,1,246.23,19.9,CE,Em trânsito,
PED-000021,2024-02-15,08:27,Infantil,PROD-0053,67.7,1,67.7,15.07,SP,Devolvido,
PED-000022,2023-05-26,16:56,Casa & Decoração,PROD-0082,307.93,2,615.87,27.84,CE,Entregue,1.0
PED-000023,2024-11-06,17:34,Infantil,PROD-0441,98.31,1,98.31,32.64,SP,Entregue,2.0
PED-000024,2023-12-06,11:20,Moda Feminina,PROD-0122,132.95,1,132.95,9.2,CE,Entregue,4.0
PED-000025,2024-11-13,18:33,Infantil,PROD-0441,46.91,1,46.91,34.65,RJ,Entregue,4.0
PED-000026,2023-05-15,08:05,Casa & Decoração,PROD-0277,138.14,2,276.29,33.02,CE,Cancelado,
PED-000027,2023-04-23,15:47,Infantil,PROD-0425,95.61,1,95.61,30.36,CE,Em trânsito,
PED-000028,2024-08-11,09:13,Infantil,PROD-0184,49.02,1,49.02,19.17,RS,Devolvido,
PED-000029,2024-09-24,21:10,Eletrônicos,PROD-0403,218.75,1,218.75,30.46,PA,Cancelado,
PED-000030,2024-01-03,17:33,Moda Masculina,PROD-0364,18.7,1,18.7,32.98,PA,Cancelado,
PED-000031,2024-05-04,08:50,Moda Feminina,PROD-0442,114.43,1,114.43,41.96,PA,Entregue,4.0
PED-000032,2024-10-14,19:47,Eletrônicos,PROD-0005,655.47,1,655.47,39.78,RS,Entregue,3.0
PED-000033,2023-04-19,14:22,Esporte & Lazer,PROD-0097,151.25,2,302.5,27.1,PE,Entregue,4.0
PED-000034,2024-08-26,17:56,Moda Masculina,PROD-0141,122.61,2,245.22,14.83,CE,Entregue,5.0
PED-000035,2023-03-31,10:36,Moda Feminina,PROD-0069,194.44,1,194.44,22.74,CE,Entregue,5.0
PED-000036,2024-02-24,12:16,Infantil,PROD-0100,94.73,2,189.46,19.45,PI,Entregue,5.0
PED-000037,2023-07-09,06:53,Moda Masculina,PROD-0391,133.03,1,133.03,14.82,CE,Entregue,4.0
PED-000038,2023-07-25,14:11,Moda Feminina,PROD-0437,55.13,1,55.13,13.89,SP,Entregue,5.0
PED-000039,2023-01-06,16:26,Acessórios,PROD-0057,77.16,1,77.16,16.24,RN,Devolvido,
PED-000040,2024-12-02,17:53,Beleza & Saúde,PROD-0270,108.96,1,108.96,,RJ,Entregue,4.0
PED-000041,2023-12-29,01:36,Eletrônicos,PROD-0439,508.52,1,508.52,31.36,RJ,Devolvido,
PED-000042,2023-08-17,16:13,Acessórios,PROD-0317,83.96,1,83.96,42.47,MA,Entregue,1.0
PED-000043,2023-09-23,10:05,Acessórios,PROD-0469,95.26,1,95.26,16.51,SP,Entregue,5.0
PED-000044,2023-07-21,13:29,Eletrônicos,PROD-0458,342.77,1,342.77,43.04,PI,Em trânsito,
PED-000045,2023-02-02,12:44,Moda Masculina,PROD-0243,127.96,1,127.96,37.35,SP,Entregue,5.0
PED-000046,2023-12-02,19:06,Casa & Decoração,PROD-0290,307.92,3,923.75,29.79,RJ,Em trânsito,
PED-000047,2023-07-13,09:44,Moda Masculina,PROD-0113,140.27 ,1,140.27,24.85,MA,Entregue,2.0
PED-000048,2023-10-03,11:49,Eletrônicos,PROD-0006,573.21,2,1146.42,35.43,CE,Entregue,4.0
PED-000049,2023-06-19,11:18,Beleza & Saúde,PROD-0102,89.47,1,89.47,23.7,SP,Entregue,4.0
PED-000050,2024-06-12,12:45,Moda Masculina,PROD-0448,263.9,3,791.7,14.09,PE,Entregue,4.0
PED-000051,2023-12-12,15:20,Eletrônicos,PROD-0309,531.98,1,531.98,36.21,RN,Cancelado,
PED-000052,2023-01-17,18:02,Casa & Decoração,PROD-0251,270.83,1,270.83,7.0,CE,Entregue,5.0
PED-000053,2024-10-25,15:47,Moda Feminina,PROD-0193,15.55,1,15.55,20.85,CE,Entregue,4.0
PED-000054,2023-03-26,14:28,Beleza & Saúde,PROD-0213,77.73,1,77.73,15.26,PB,Devolvido,
PED-000055,2024-04-23,08:56,Eletrônicos,PROD-0356,140.7,3,422.11,16.88,CE,Entregue,4.0
PED-000056,2023-03-31,14:52,Casa & Decoração,PROD-0357,152.01,1,152.01,24.02,BA,Entregue,3.0
PED-000057,2023-06-20,14:07,Moda Feminina,PROD-0500,82.41,1,82.41,5.82,MG,Devolvido,
PED-000058,2023-08-30,11:48,Infantil,PROD-0469,138.0,2,276.01,22.77,CE,Entregue,5.0
PED-000059,2024-03-11,15:15,Moda Masculina,PROD-0406,95.38,1,95.38,23.84,SP,Devolvido,
PED-000060,2023-05-04,14:08,Moda Masculina,PROD-0329,79.93,1,79.93,41.45,CE,Em trânsito,
PED-000061,2023-10-15,17:39,Moda Feminina,PROD-0414,62.98,1,62.98,32.05,MG,Cancelado,
PED-000062,2023-02-17,12:48,Moda Masculina,PROD-0445,146.38,1,146.38,32.74,RJ,Entregue,5.0
PED-000063,2024-05-30,17:25,Moda Feminina,PROD-0061,140.65,2,281.31,10.56,GO,Entregue,4.0
PED-000064,2024-12-12,13:16,Casa & Decoração,PROD-0371,91.33,1,91.33,21.06,MG,Entregue,4.0
PED-000065,2024-03-29,03:25,Moda Masculina,PROD-0298,154.79,1,154.79,42.74,GO,Entregue,4.0
PED-000066,2024-08-18,09:53,Casa & Decoração,PROD-0215,119.1 ,1,119.1,27.47,BA,Entregue,4.0
PED-000067,2024-12-20,11:56,Beleza & Saúde,PROD-0158,81.45,1,81.45,37.89,RS,Entregue,4.0
PED-000068,2024-09-17,10:25,Casa & Decoração,PROD-0395,234.64,1,234.64,8.48,CE,Entregue,5.0
PED-000069,2023-09-01,21:19,Esporte & Lazer,PROD-0195,167.5,1,167.5,22.99,BA,Devolvido,
