aluno_id,escola,serie,turno,idade,sexo,renda_familiar,escolaridade_pais,acesso_internet,frequencia_pct,nota_matematica,nota_portugues,nota_media_geral
ALU-00001,Escola Alpha,6º Ano,Manhã,16,F,Até 1 SM,Pós-graduação,0,93.1,52.4,47.0,49.7
ALU-00002,Escola Alpha,6º Ano,Manhã,18,M,5+ SM,Fundamental Completo,1,97.6,55.3,57.3,56.3
ALU-00003,Escola Alpha,6º Ano,Manhã,18,F,3-5 SM,Superior Completo,0,89.1,88.4,67.7,78.1
ALU-00004,Escola Alpha,6º Ano,Manhã,17,M,1-2 SM,Pós-graduação,1,65.4,60.7,55.1,57.9
ALU-00005,Escola Alpha,6º Ano,Manhã,17,M,5+ SM,Fundamental Completo,1,85.8,47.5,83.9,65.7
ALU-00006,Escola Alpha,6º Ano,Manhã,18,F,Até 1 SM,Médio Completo,0,74.4,36.4,26.1,31.3
ALU-00007,Escola Alpha,6º Ano,Manhã,18,M,Até 1 SM,Superior Completo,0,80.3,59.1,48.8,53.9
ALU-00008,Escola Alpha,6º Ano,Manhã,17,M,2-3 SM,Pós-graduação,1,87.0,54.9,66.0,60.4
ALU-00009,Escola Alpha,6º Ano,Manhã,18,M,1-2 SM,Superior Completo,1,87.6,79.1,70.7,74.9
ALU-00010,Escola Alpha,6º Ano,Manhã,18,M,1-2 SM,Médio Completo,1,99.3,61.3,82.5,71.9
ALU-00011,Escola Alpha,6º Ano,Manhã,17,F,,Superior Completo,1,64.7,60.1,49.1,54.6
ALU-00012,Escola Alpha,6º Ano,Manhã,18,F,Até 1 SM,Fundamental Completo,1,70.2,58.3,37.3,47.8
ALU-00013,Escola Alpha,6º Ano,Manhã,16,F,1-2 SM,Pós-graduação,1,94.9,68.8,66.9,67.9
ALU-00014,Escola Alpha,6º Ano,Manhã,16,M,Até 1 SM,Superior Completo,1,73.8,51.8,48.4,50.1
ALU-00015,Escola Alpha,6º Ano,Manhã,17,M,2-3 SM,Médio Completo,1,72.5,45.6,49.3,47.5
ALU-00016,Escola Alpha,6º Ano,Manhã,16,M,3-5 SM,Fundamental Incompleto,1,100.0,83.2,72.4,77.8
ALU-00017,Escola Alpha,6º Ano,Manhã,16,F,1-2 SM,Médio Completo,1,83.9,53.4,73.2,63.3
ALU-00018,Escola Alpha,6º Ano,Manhã,16,F,1-2 SM,Fundamental Completo,0,77.2,44.8,48.9,46.8
ALU-00019,Escola Alpha,6º Ano,Manhã,18,F,2-3 SM,Fundamental Incompleto,1,89.9,63.8,63.2,63.5
ALU-00020,Escola Alpha,6º Ano,Manhã,17,M,,,1,52.2,47.9,65.5,56.7
ALU-00021,Escola Alpha,6º Ano,Manhã,18,M,,Superior Completo,1,100.0,89.6,79.8,84.7
ALU-00022,Escola Alpha,6º Ano,Manhã,17,F,2-3 SM,Pós-graduação,1,93.8,70.0,59.9,64.9
ALU-00023,Escola Alpha,6º Ano,Manhã,17,M,1-2 SM,Superior Completo,0,77.4,56.2,54.9,55.5
ALU-00024,Escola Alpha,6º Ano,Manhã,17,M,Até 1 SM,Fundamental Completo,1,79.4,72.2,62.3,67.2
ALU-00025,Escola Alpha,6º Ano,Manhã,17,F,2-3 SM,Pós-graduação,1,86.2,69.6,60.0,64.8
ALU-00026,Escola Alpha,6º Ano,Tarde,17,M,2-3 SM,Superior Completo,0,65.5,51.8,56.0,53.9
ALU-00027,Escola Alpha,6º Ano,Tarde,17,M,1-2 SM,Superior Completo,1,80.9,58.4,48.5,53.4
ALU-00028,Escola Alpha,6º Ano,Tarde,16,F,1-2 SM,Superior Completo,0,91.4,61.2,54.7,57.9
ALU-00029,Escola Alpha,6º Ano,Tarde,17,M,2-3 SM,,1,88.0,41.8,62.9,52.4
ALU-00030,Escola Alpha,6º Ano,Tarde,16,M,1-2 SM,Médio Completo,1,75.4,52.0,61.0,56.5
ALU-00031,Escola Alpha,6º Ano,Tarde,17,F,Até 1 SM,Fundamental Incompleto,0,85.8,48.1,66.1,57.1
ALU-00032,Escola Alpha,6º Ano,Tarde,16,M,Até 1 SM,Fundamental Incompleto,1,84.2,41.2,56.8,49.0
ALU-00033,Escola Alpha,6º Ano,Tarde,16,F,5+ SM,Médio Completo,1,83.4,65.5,67.4,66.5
ALU-00034,Escola Alpha,6º Ano,Tarde,17,F,1-2 SM,Fundamental Completo,1,83.3,53.8,73.5,63.6
ALU-00035,Escola Alpha,6º Ano,Tarde,17,M,1-2 SM,Pós-graduação,1,68.5,58.2,65.8,62.0
ALU-00036,Escola Alpha,6º Ano,Tarde,16,M,1-2 SM,Fundamental Completo,1,83.4,57.3,82.0,69.6
ALU-00037,Escola Alpha,6º Ano,Tarde,16,M,3-5 SM,Médio Completo,1,97.2,57.1,87.9,72.5
ALU-00038,Escola Alpha,6º Ano,Tarde,16,M,1-2 SM,Superior Completo,0,84.1,65.4,53.2,59.3
ALU-00039,Escola Alpha,6º Ano,Tarde,17,M,2-3 SM,Fundamental Incompleto,1,89.0,50.7,50.6,50.7
ALU-00040,Escola Alpha,6º Ano,Tarde,17,M,5+ SM,Médio Completo,0,92.6,76.3,46.7,61.5
ALU-00041,Escola Alpha,6º Ano,Tarde,16,M,1-2 SM,Fundamental Completo,1,76.6,52.4,73.8,63.1
ALU-00042,Escola Alpha,6º Ano,Tarde,17,M,1-2 SM,Superior Completo,1,97.2,42.6,68.9,55.8
ALU-00043,Escola Alpha,6º Ano,Tarde,16,M,Até 1 SM,Superior Completo,1,78.2,61.5,72.2,66.8
ALU-00044,Escola Alpha,6º Ano,Tarde,17,F,1-2 SM,Fundamental Completo,1,85.6,52.5,55.6,54.1
ALU-00045,Escola Alpha,6º Ano,Tarde,18,M,1-2 SM,Superior Completo,0,85.7,56.3,64.0,60.2
ALU-00046,Escola Alpha,6º Ano,Tarde,16,F,Até 1 SM,Médio Completo,0,85.4,51.2,52.8,52.0
ALU-00047,Escola Alpha,6º Ano,Tarde,16,M,1-2 SM,,1,78.9,61.7,59.3,60.5
ALU-00048,Escola Alpha,6º Ano,Tarde,18,F,2-3 SM,Médio Completo,1,93.7,62.7,66.0,64.4
ALU-00049,Escola Alpha,6º Ano,Tarde,17,F,5+ SM,Fundamental Completo,1,54.8,60.1,46.8,53.5
ALU-00050,Escola Alpha,6º Ano,Tarde,18,F,1-2 SM,Fundamental Incompleto,1,88.8,76.8,63.0,69.9
ALU-00051,Escola Alpha,6º Ano,Tarde,18,M,1-2 SM,Médio Completo,1,86.3,57.6,74.7,66.1
ALU-00052,Escola Alpha,6º Ano,Tarde,18,F,Até 1 SM,Médio Completo,1,69.5,36.5,48.2,42.4
ALU-00053,Escola Alpha,6º Ano,Tarde,17,F,5+ SM,Médio Completo,0,97.1,42.7,68.6,55.7
ALU-00054,Escola Alpha,6º Ano,Tarde,17,F,2-3 SM,Superior Completo,1,74.0,69.4,56.2,62.8
ALU-00055,Escola Alpha,6º Ano,Tarde,17,M,1-2 SM,Médio Completo,1,99.0,73.7,62.9,68.3
ALU-00056,Escola Alpha,6º Ano,Tarde,17,M,3-5 SM,Fundamental Incompleto,1,96.0,63.4,94.9,79.2
ALU-00057,Escola Alpha,6º Ano,Tarde,16,F,3-5 SM,Fundamental Completo,1,83.1,52.5,67.6,60.0
ALU-00058,Escola Alpha,6º Ano,Tarde,18,F,2-3 SM,Superior Completo,0,76.2,54.4,48.6,51.5
ALU-00059,Escola Alpha,6º Ano,Tarde,18,F,1-2 SM,Fundamental Completo,1,86.6,54.0,56.3,55.1
ALU-00060,Escola Alpha,6º Ano,Tarde,17,F,2-3 SM,Fundamental Completo,1,100.0,55.8,57.7,56.8
ALU-00061,Escola Alpha,7º Ano,Manhã,17,M,2-3 SM,Pós-graduação,1,62.8,52.4,66.7,59.5
ALU-00062,Escola Alpha,7º Ano,Manhã,19,F,,Médio Completo,1,100.0,72.2,64.3,68.2
ALU-00063,Escola Alpha,7º Ano,Manhã,19,F,2-3 SM,,0,92.6,46.1,67.9,57.0
ALU-00064,Escola Alpha,7º Ano,Manhã,19,M,1-2 SM,Pós-graduação,0,87.1,48.0,88.8,68.4
ALU-00065,Escola Alpha,7º Ano,Manhã,18,M,3-5 SM,Pós-graduação,1,85.4,77.7,64.9,71.3
ALU-00066,Escola Alpha,7º Ano,Manhã,18,F,3-5 SM,Pós-graduação,0,100.0,59.3,82.7,71.0
ALU-00067,Escola Alpha,7º Ano,Manhã,17,F,1-2 SM,Médio Completo,1,70.8,62.2,56.6,59.4
ALU-00068,Escola Alpha,7º Ano,Manhã,18,M,,,0,81.5,52.3,54.6,53.5
ALU-00069,Escola Alpha,7º Ano,Manhã,19,F,Até 1 SM,Médio Completo,0,81.1,75.7,57.7,66.7
ALU-00070,Escola Alpha,7º Ano,Manhã,18,M,Até 1 SM,Médio Completo,0,81.5,51.0,58.8,54.9
ALU-00071,Escola Alpha,7º Ano,Manhã,18,F,1-2 SM,Superior Completo,1,86.3,91.1,60.6,75.8
ALU-00072,Escola Alpha,7º Ano,Manhã,18,F,1-2 SM,Fundamental Incompleto,1,83.0,46.5,63.5,55.0
ALU-00073,Escola Alpha,7º Ano,Manhã,19,F,1-2 SM,Superior Completo,1,62.9,53.3,50.0,51.6
ALU-00074,Escola Alpha,7º Ano,Manhã,18,M,Até 1 SM,Pós-graduação,1,88.0,57.6,76.7,67.2
ALU-00075,Escola Alpha,7º Ano,Manhã,17,M,2-3 SM,,1,89.3,73.6,62.2,67.9
ALU-00076,Escola Alpha,7º Ano,Manhã,18,F,,Superior Completo,1,77.3,64.2,74.4,69.3
ALU-00077,Escola Alpha,7º Ano,Manhã,17,M,Até 1 SM,Fundamental Completo,1,75.6,68.4,68.5,68.4
ALU-00078,Escola Alpha,7º Ano,Manhã,19,M,5+ SM,Médio Completo,1,74.3,69.8,67.8,68.8
ALU-00079,Escola Alpha,7º Ano,Manhã,19,M,2-3 SM,Fundamental Completo,1,94.8,50.6,71.0,60.8
ALU-00080,Escola Alpha,7º Ano,Manhã,19,F,Até 1 SM,Médio Completo,1,86.2,40.3,75.8,58.1
ALU-00081,Escola Alpha,7º Ano,Manhã,18,F,5+ SM,Médio Completo,1,84.9,80.6,75.2,77.9
ALU-00082,Escola Alpha,7º Ano,Manhã,19,M,5+ SM,Fundamental Completo,1,96.1,63.0,80.1,71.6
ALU-00083,Escola Alpha,7º Ano,Manhã,17,M,Até 1 SM,Fundamental Incompleto,1,82.9,50.4,76.1,63.3
ALU-00084,Escola Alpha,7º Ano,Manhã,17,M,2-3 SM,Fundamental Incompleto,1,100.0,62.2,48.4,55.3
ALU-00085,Escola Alpha,7º Ano,Manhã,19,F,1-2 SM,Superior Completo,1,100.0,79.0,69.5,74.2
ALU-00086,Escola Alpha,7º Ano,Manhã,18,F,2-3 SM,Pós-graduação,1,72.8,56.5,70.7,63.6
ALU-00087,Escola Alpha,7º Ano,Manhã,19,M,Até 1 SM,Fundamental Completo,0,76.7,63.3,59.3,61.3
ALU-00088,Escola Alpha,7º Ano,Tarde,19,M,5+ SM,Médio Completo,1,97.5,67.7,71.9,69.8
ALU-00089,Escola Alpha,7º Ano,Tarde,19,M,Até 1 SM,Superior Completo,0,84.8,56.4,59.5,58.0
ALU-00090,Escola Alpha,7º Ano,Tarde,18,M,1-2 SM,Médio Completo,0,100.0,72.4,72.9,72.6
ALU-00091,Escola Alpha,7º Ano,Tarde,18,M,2-3 SM,Fundamental Completo,1,97.3,66.7,53.9,60.3
ALU-00092,Escola Alpha,7º Ano,Tarde,18,M,Até 1 SM,Médio Completo,1,77.1,55.0,46.1,50.6
ALU-00093,Escola Alpha,7º Ano,Tarde,17,M,2-3 SM,,1,95.7,62.5,66.5,64.5
ALU-00094,Escola Alpha,7º Ano,Tarde,19,M,1-2 SM,Médio Completo,0,100.0,55.1,41.9,48.5
ALU-00095,Escola Alpha,7º Ano,Tarde,18,F,1-2 SM,Fundamental Completo,1,84.4,60.1,47.9,54.0
ALU-00096,Escola Alpha,7º Ano,Tarde,19,M,2-3 SM,Fundamental Completo,1,98.3,59.6,62.6,61.1
ALU-00097,Escola Alpha,7º Ano,Tarde,19,M,1-2 SM,Médio Completo,1,86.6,61.6,59.9,60.8
ALU-00098,Escola Alpha,7º Ano,Tarde,19,M,3-5 SM,Médio Completo,1,89.1,51.1,72.8,61.9
ALU-00099,Escola Alpha,7º Ano,Tarde,18,M,Até 1 SM,Fundamental Incompleto,1,83.2,58.9,66.0,62.4
ALU-00100,Escola Alpha,7º Ano,Tarde,19,M,3-5 SM,Médio Completo,1,94.8,62.6,67.0,64.8
ALU-00101,Escola Alpha,7º Ano,Tarde,19,F,Até 1 SM,Médio Completo,1,80.5,74.0,72.0,73.0
ALU-00102,Escola Alpha,7º Ano,Tarde,17,F,Até 1 SM,Médio Completo,1,86.5,62.3,63.5,62.9
ALU-00103,Escola Alpha,7º Ano,Tarde,19,M,5+ SM,Médio Completo,1,62.1,49.0,49.5,49.2
ALU-00104,Escola Alpha,7º Ano,Tarde,18,F,5+ SM,Médio Completo,0,100.0,67.1,56.8,61.9
ALU-00105,Escola Alpha,7º Ano,Tarde,17,M,3-5 SM,Médio Completo,1,100.0,66.8,71.5,69.2
ALU-00106,Escola Alpha,7º Ano,Tarde,18,M,1-2 SM,Superior Completo,1,100.0,56.0,72.9,64.4
ALU-00107,Escola Alpha,7º Ano,Tarde,17,M,1-2 SM,Médio Completo,1,72.4,43.4,37.6,40.5
ALU-00108,Escola Alpha,7º Ano,Tarde,17,F,3-5 SM,Fundamental Completo,1,71.2,43.9,53.1,48.5
ALU-00109,Escola Alpha,7º Ano,Tarde,19,M,3-5 SM,Superior Completo,1,83.4,60.9,72.0,66.5
ALU-00110,Escola Alpha,7º Ano,Tarde,19,F,3-5 SM,Fundamental Completo,0,100.0,50.8,77.8,64.3
ALU-00111,Escola Alpha,7º Ano,Tarde,18,M,1-2 SM,Médio Completo,1,91.4,35.6,56.2,45.9
ALU-00112,Escola Alpha,7º Ano,Tarde,17,M,Até 1 SM,Fundamental Incompleto,0,85.4,72.7,73.9,73.3
ALU-00113,Escola Alpha,7º Ano,Tarde,17,F,3-5 SM,Superior Completo,1,86.2,63.8,75.5,69.6
