manutencao_id,veiculo_id,tipo_veiculo,ano_fabricacao,data_manutencao,oficina,tipo_manutencao,componente,custo_reais,tempo_parado_horas,km_odometro,cidade_servico
MAN-00001,VEI-0029,Van,2020,2024-03-11,Moto Peças,Preventiva,Direção,945.3,12.6,329085,Caucaia
MAN-00002,VEI-0007,Caminhão,2019,2024-01-02,ServiCar Express,Preventiva,Elétrica,561.64,,315357,Sobral
MAN-00003,VEI-0114,Van,2016,2024-08-12,MecaPremium,Corretiva,Freios,1079.21,32.1,66656,Sobral
MAN-00004,VEI-0109,Utilitário,2016,2024-03-06,Retífica Ceará,Corretiva,Arrefecimento,796.12,36.5,146843,Juazeiro do Norte
MAN-00005,VEI-0132,Van,2016,2024-11-13,Oficina Popular,Corretiva,Pneus,1922.75,27.0,75054,Juazeiro do Norte
MAN-00006,VEI-0008,Van,2019,2023-12-13,MecaPremium,Preventiva,Arrefecimento,687.13,1.0,138778,Recife
MAN-00007,VEI-0059,Van,2023,2024-06-22,AutoCenter VIP,Corretiva,Transmissão,5452.28,20.4,237728,Fortaleza
MAN-00008,VEI-0049,Caminhão,2015,2024-02-24,Mecânica Central,Corretiva,Arrefecimento,736.73,17.5,291159,Fortaleza
MAN-00009,VEI-0115,Van,2019,2023-09-12,ServiCar Express,Corretiva,Freios,1345.98,30.1,89870,Juazeiro do Norte
MAN-00010,VEI-0084,Caminhão,2023,2023-10-24,Pneus & Cia,Corretiva,Freios,415.27,14.1,368163,Juazeiro do Norte
MAN-00011,VEI-0171,Utilitário,2018,2024-03-08,Oficina Popular,Corretiva,Suspensão,244.81,25.4,189543,Sobral
MAN-00012,VEI-0178,Utilitário,2018,2024-10-12,ServiCar Express,Preventiva,Arrefecimento,70.41,1.0,101503,Recife
MAN-00013,VEI-0080,Van,2021,2024-03-22,ServiCar Express,Preventiva,Arrefecimento,120.16,1.0,133692,Juazeiro do Norte
MAN-00014,VEI-0101,Utilitário,2022,2024-12-04,Freios Total,Preventiva,Direção,603.74,9.1,224328,Juazeiro do Norte
MAN-00015,VEI-0172,Caminhão,2018,2023-08-25,ServiCar Express,Corretiva,Direção,1771.04,28.8,299001,Maracanaú
MAN-00016,VEI-0134,Utilitário,2023,2024-11-30,ServiCar Express,Corretiva,Freios,827.78,18.8,98785,Fortaleza
MAN-00017,VEI-0056,Caminhão,2020,2024-05-31,Retífica Ceará,Corretiva,Transmissão,2605.99,21.3,63745,Sobral
MAN-00018,VEI-0197,Van,2023,2024-11-11,Pneus & Cia,Corretiva,Pneus,1527.33,26.8,282532,Caucaia
MAN-00019,VEI-0113,Caminhão,2018,2024-01-19,Oficina Popular,Corretiva,Motor,2788.52,16.2,373921,Maracanaú
MAN-00020,VEI-0070,Van,2017,2024-11-13,MecaPremium,Preventiva,Arrefecimento,1003.32,8.9,219663,Juazeiro do Norte
