imovel_id,bairro,tipo_imovel,area_m2,quartos,vagas_garagem,andar,condicao,preco_total,preco_m2,ano_anuncio,mes_anuncio,dias_no_mercado,vendido
IMO-00001,Cocó,Apartamento,78,2,1.0,12,Usado,799705.89,10252.64,2024,8,96.0,1
IMO-00002,Luciano Cavalcante,Apartamento,89,4,1.0,19,Usado,621775.67,6986.24,2023,9,102.0,0
IMO-00003,Cocó,Apartamento,103,4,1.0,14,Novo,1189420.3,11547.77,2024,1,177.0,0
IMO-00004,Benfica,Apartamento,104,2,1.0,5,Usado,564463.25,5427.53,2024,8,123.0,1
IMO-00005,Messejana,Cobertura,172,4,2.0,15,Novo,720875.71,4191.14,2023,10,94.0,1
IMO-00006,Parquelândia,Casa,140,2,3.0,0,Novo,1019881.73,7284.87,2024,8,68.0,1
IMO-00007,Caucaia,Apartamento,105,4,1.0,5,Usado,347838.4,3312.75,2024,8,80.0,1
IMO-00008,Edson Queiroz,Apartamento,74,3,2.0,2,Usado,602709.59,8144.72,2024,8,77.0,1
IMO-00009,Centro,Flat/Studio,39,1,1.0,14,Usado,256552.53,6578.27,2023,7,39.0,1
IMO-00010,Meireles,Casa,186,4,3.0,0,Novo,2509718.28,13493.11,2024,8,121.0,1
IMO-00011,Messejana,Casa,140,4,4.0,0,Novo,607023.69,4335.88,2024,7,153.0,1
IMO-00012,Maracanaú,Apartamento,95,4,3.0,5,Novo,347776.74,3660.81,2022,8,27.0,1
IMO-00013,Dionísio Torres,Casa,67,5,3.0,0,Novo,636815.35,9504.71,2023,11,119.0,0
IMO-00014,Meireles,Casa,207,5,4.0,0,Novo,3243260.83,15667.93,2022,9,96.0,1
IMO-00015,Parquelândia,Apartamento,107,1,2.0,1,Usado,718697.86,6716.8,2023,3,159.0,0
IMO-00016,Aquiraz (Beach Park),Casa,290,3,1.0,0,Novo,2342198.02,8076.54,2024,1,62.0,0
IMO-00017,Centro,Casa,186,3,2.0,0,Usado,1079428.05,5803.38,2023,6,61.0,1
IMO-00018,Centro,Casa,62,4,3.0,0,Novo,385807.31,6222.7,2022,2,19.0,0
IMO-00019,Maracanaú,Casa,155,3,2.0,0,Novo,492887.44,3179.92,2024,11,83.0,0
IMO-00020,Cocó,Flat/Studio,41,1,0.0,10,Usado,460556.19,11233.08,2024,6,44.0,0
IMO-00021,Parangaba,Apartamento,104,2,3.0,7,Usado,381497.66,3668.25,2024,5,5.0,1
IMO-00022,Montese,Casa,76,2,2.0,0,Usado,401192.37,5278.85,2024,12,68.0,1
IMO-00023,Maracanaú,Apartamento,95,4,1.0,11,Usado,266337.29,2803.55,2022,4,85.0,1
IMO-00024,Maracanaú,Apartamento,60,3,2.0,6,Novo,180060.41,3001.01,2023,3,152.0,0
IMO-00025,Aldeota,Apartamento,101,2,2.0,21,Usado,1057238.91,10467.71,2023,9,201.0,0
IMO-00026,Parquelândia,Apartamento,64,3,2.0,20,Novo,482007.84,7531.37,2024,5,77.0,0
IMO-00027,Montese,Cobertura,160,5,3.0,15,Novo,1066258.99,6664.12,2023,6,163.0,0
IMO-00028,Montese,Casa,60,5,3.0,0,Usado,326257.86,5437.63,2022,1,127.0,0
IMO-00029,Cocó,Flat/Studio,50,1,1.0,10,Usado,435160.53,8703.21,2023,1,93.0,1
IMO-00030,Caucaia,Cobertura,169,4,3.0,17,Novo,524866.43,3105.72,2024,10,197.0,1
IMO-00031,Parangaba,Apartamento,63,3,2.0,11,Usado,201810.61,3203.34,2023,6,123.0,0
IMO-00032,Edson Queiroz,Apartamento,64,3,2.0,3,Usado,364856.89,5700.89,2024,1,33.0,0
IMO-00033,Eusébio,Apartamento,62,1,1.0,12,Novo,398905.69,6433.96,2024,5,100.0,0
IMO-00034,Maraponga,Casa,163,4,2.0,0,Novo,921470.44,5653.19,2024,11,217.0,1
IMO-00035,Parquelândia,Apartamento,95,2,2.0,9,Novo,636856.65,6703.75,2023,10,5.0,1
IMO-00036,Luciano Cavalcante,Apartamento,57,1,1.0,6,Novo,432910.34,7594.92,2023,10,11.0,0
IMO-00037,Benfica,Apartamento,44,3,1.0,11,Usado,258085.76,5865.59,2024,10,94.0,1
IMO-00038,Parangaba,Apartamento,105,3,1.0,21,Usado,288062.88,2743.46,2023,11,177.0,0
IMO-00039,Luciano Cavalcante,Apartamento,80,3,2.0,10,Novo,613891.62,7673.65,2023,7,189.0,1
IMO-00040,Maraponga,Flat/Studio,31,1,1.0,3,Novo,178823.57,5768.5,2023,3,146.0,1
IMO-00041,Fátima,Apartamento,47,2,2.0,2,Usado,315938.64,6722.1,2024,6,57.0,1
IMO-00042,Cocó,Apartamento,58,4,1.0,20,Novo,711909.49,12274.3,2023,2,190.0,0
IMO-00043,Parangaba,Apartamento,63,1,,2,Usado,276111.89,4382.73,2022,1,31.0,1
IMO-00044,Caucaia,Apartamento,84,3,2.0,9,Novo,341677.65,4067.59,2023,10,172.0,1
IMO-00045,Aldeota,Apartamento,30,3,1.0,18,Usado,257343.02,8578.1,2023,7,43.0,0
IMO-00046,Parquelândia,Apartamento,68,2,2.0,7,Usado,464615.72,6832.58,2023,3,5.0,0
IMO-00047,Varjota,Apartamento,63,3,3.0,18,Usado,508803.0,8076.24,2022,9,106.0,0
IMO-00048,Meireles,Apartamento,94,3,2.0,7,Novo,1275528.47,13569.45,2022,12,184.0,0
IMO-00049,Caucaia,Flat/Studio,30,1,1.0,19,Novo,90084.61,3002.82,2023,4,90.0,1
IMO-00050,Maraponga,Apartamento,101,4,3.0,18,Novo,515501.37,5103.97,2022,12,26.0,1
IMO-00051,Cocó,Apartamento,42,3,1.0,21,Novo,436554.79,10394.16,2024,7,84.0,1
IMO-00052,Varjota,Casa,167,2,1.0,0,Novo,1604619.9,9608.5,2023,5,8.0,1
IMO-00053,Parquelândia,Cobertura,156,3,3.0,18,Usado,918265.52,5886.32,2024,12,119.0,1
IMO-00054,Cocó,Apartamento,63,3,2.0,24,Novo,956285.6,15179.14,2023,1,29.0,0
IMO-00055,Meireles,Apartamento,62,4,1.0,9,Usado,689804.87,11125.88,2023,3,94.0,1
IMO-00056,Maraponga,Apartamento,130,3,1.0,17,Usado,645319.13,4963.99,2022,9,144.0,1
IMO-00057,Aquiraz (Beach Park),Apartamento,70,2,1.0,22,Usado,577368.17,8248.12,2022,6,96.0,1
IMO-00058,Edson Queiroz,Casa,207,3,1.0,0,Novo,2149362.38,10383.39,2022,2,58.0,1
IMO-00059,Papicu,Apartamento,107,2,1.0,24,Novo,990382.23,9255.91,2023,7,160.0,0
IMO-00060,Benfica,Flat/Studio,44,1,1.0,4,Usado,191827.58,4359.72,2022,8,93.0,1
IMO-00061,Cocó,Flat/Studio,38,1,1.0,10,Usado,399138.89,10503.66,2023,11,51.0,1
IMO-00062,Maracanaú,Apartamento,52,2,1.0,11,Usado,184612.34,3550.24,2023,12,,0
IMO-00063,Maraponga,Apartamento,92,4,2.0,16,Usado,392675.31,4268.21,2022,8,23.0,1
IMO-00064,Benfica,Flat/Studio,36,1,1.0,12,Usado,190869.17,5301.92,2023,6,185.0,0
IMO-00065,Cocó,Apartamento,64,2,2.0,23,Usado,718957.67,11233.71,2024,12,43.0,1
IMO-00066,Papicu,Cobertura,195,4,3.0,28,Usado,1613773.6,8275.76,2023,3,154.0,0
IMO-00067,Cocó,Casa,114,3,3.0,0,Novo,1357594.9,11908.73,2024,4,,1
IMO-00068,Messejana,Apartamento,66,2,2.0,6,Usado,225271.44,3413.2,2023,12,90.0,1
IMO-00069,Fátima,Apartamento,81,3,2.0,18,Usado,544469.09,6721.84,2023,12,102.0,1
IMO-00070,Aldeota,Apartamento,62,2,1.0,19,Usado,927860.7,14965.5,2022,2,5.0,1
IMO-00071,Aquiraz (Beach Park),Casa,99,3,2.0,0,Usado,646666.24,6531.98,2023,9,113.0,0
IMO-00072,Parangaba,Casa,121,4,2.0,0,Novo,642071.95,5306.38,2024,12,86.0,0
IMO-00073,Aldeota,Apartamento,100,4,3.0,14,Novo,1480540.72,14805.41,2023,4,215.0,0
IMO-00074,Luciano Cavalcante,Casa,187,2,4.0,0,Novo,1737216.7,9289.93,2022,12,86.0,1
IMO-00075,Messejana,Flat/Studio,25,1,0.0,8,Novo,104650.37,4186.01,2024,12,37.0,0
IMO-00076,Maracanaú,Apartamento,82,2,1.0,4,Usado,252466.88,3078.86,2022,2,9.0,1
IMO-00077,Meireles,Apartamento,69,3,2.0,2,Usado,979352.81,14193.52,2024,1,108.0,0
IMO-00078,Aquiraz (Beach Park),Apartamento,110,3,3.0,7,Novo,851935.41,7744.87,2023,3,74.0,1
IMO-00079,Luciano Cavalcante,Flat/Studio,25,1,1.0,19,Usado,216701.06,8668.04,2024,6,65.0,0
IMO-00080,Montese,Cobertura,135,5,3.0,25,Usado,619180.76,4586.52,2024,1,84.0,1
IMO-00081,Parquelândia,Cobertura,223,3,2.0,21,Usado,1587315.46,7118.01,2024,3,177.0,1
IMO-00082,Varjota,Casa,89,4,2.0,0,Usado,704540.09,7916.18,2023,3,14.0,1
IMO-00083,Centro,Casa,135,5,3.0,0,Novo,908459.73,6729.33,2022,11,131.0,1
IMO-00084,Caucaia,Apartamento,43,3,2.0,11,Novo,152121.69,3537.71,2024,1,147.0,1
IMO-00085,Dionísio Torres,Apartamento,121,2,1.0,9,Usado,1251017.16,10338.98,2023,6,251.0,1
IMO-00086,Caucaia,Casa,197,3,3.0,0,Usado,378383.14,1920.73,2023,12,5.0,1
IMO-00087,Eusébio,Apartamento,41,1,1.0,4,Usado,223881.49,5460.52,2024,12,,0
IMO-00088,Parquelândia,Apartamento,124,2,2.0,20,Usado,662245.58,5340.69,2024,8,97.0,1
IMO-00089,Montese,Cobertura,239,3,3.0,29,Usado,1312405.03,5491.23,2022,1,256.0,1
IMO-00090,Benfica,Casa,135,3,2.0,0,Usado,550099.49,4074.81,2023,3,55.0,1
IMO-00091,Parquelândia,Apartamento,48,1,3.0,23,Usado,327667.91,6826.41,2022,8,102.0,1
IMO-00092,Maraponga,Apartamento,78,1,1.0,12,Novo,388587.73,4981.89,2024,9,208.0,1
IMO-00093,Aquiraz (Beach Park),Apartamento,121,2,1.0,14,Novo,859301.3,7101.66,2023,7,117.0,0
IMO-00094,Eusébio,Casa,184,4,4.0,0,Usado,921563.82,5008.5,2023,10,78.0,1
IMO-00095,Maraponga,Apartamento,89,2,1.0,15,Usado,412287.03,4632.44,2024,12,152.0,1
IMO-00096,Parangaba,Apartamento,30,3,2.0,10,Usado,131777.72,4392.59,2023,8,32.0,1
IMO-00097,Centro,Apartamento,66,3,1.0,15,Usado,320215.89,4851.76,2022,6,94.0,1
IMO-00098,Luciano Cavalcante,Casa,133,3,2.0,0,Usado,1022837.99,7690.51,2022,8,172.0,0
IMO-00099,Parquelândia,Flat/Studio,27,1,0.0,2,Usado,153397.44,5681.39,2023,10,93.0,0
IMO-00100,Messejana,Casa,196,3,2.0,0,Novo,1040052.65,5306.39,2022,11,72.0,1
IMO-00101,Edson Queiroz,Apartamento,117,3,2.0,3,Usado,902286.35,7711.85,2023,2,55.0,0
IMO-00102,Parangaba,Flat/Studio,41,1,0.0,6,Novo,214070.52,5221.23,2023,3,91.0,1
IMO-00103,Montese,Apartamento,68,1,2.0,18,Novo,325257.29,4783.2,2022,4,74.0,1
IMO-00104,Parangaba,Apartamento,114,3,3.0,3,Novo,462457.65,4056.65,2022,8,24.0,1
IMO-00105,Aquiraz (Beach Park),Apartamento,80,1,2.0,19,Usado,546853.8,6835.67,2022,3,5.0,1
IMO-00106,Edson Queiroz,Flat/Studio,40,1,0.0,2,Usado,200385.53,5009.64,2023,12,44.0,1
IMO-00107,Messejana,Cobertura,112,3,2.0,19,Usado,491809.77,4391.16,2023,2,30.0,0
IMO-00108,Maraponga,Casa,192,4,2.0,0,Usado,939282.92,4892.1,2023,7,123.0,1
IMO-00109,Edson Queiroz,Apartamento,68,3,2.0,4,Usado,440958.42,6484.68,2022,10,124.0,1
IMO-00110,Eusébio,Cobertura,241,3,2.0,30,Usado,1522362.8,6316.86,2024,6,65.0,1
IMO-00111,Meireles,Flat/Studio,36,1,1.0,11,Novo,465958.49,12943.29,2024,9,111.0,1
IMO-00112,Centro,Flat/Studio,39,1,0.0,13,Novo,229038.75,5872.79,2023,3,49.0,0
IMO-00113,Messejana,Casa,81,3,3.0,0,Usado,307185.88,3792.42,2024,9,111.0,1
IMO-00114,Benfica,Apartamento,84,3,2.0,6,Novo,539037.99,6417.12,2024,2,53.0,0
IMO-00115,Papicu,Apartamento,69,4,1.0,10,Novo,637678.11,9241.71,2023,5,86.0,0
IMO-00116,Cocó,Apartamento,123,2,1.0,12,Usado,1083112.95,8805.8,2023,12,176.0,0
IMO-00117,Fátima,Apartamento,82,2,1.0,9,Novo,677841.02,8266.35,2024,4,44.0,0
IMO-00118,Meireles,Casa,156,4,3.0,0,Usado,2236966.49,14339.53,2022,2,163.0,0
IMO-00119,Centro,Apartamento,69,1,,23,Usado,416873.18,6041.64,2023,8,109.0,1
IMO-00120,Edson Queiroz,Apartamento,84,4,2.0,1,Usado,758461.9,9029.31,2024,12,153.0,1
IMO-00121,Caucaia,Casa,178,3,2.0,0,Novo,607299.29,3411.79,2024,11,107.0,1
IMO-00122,Cocó,Apartamento,82,2,1.0,14,Novo,667906.56,8145.2,2023,2,186.0,1
IMO-00123,Cocó,Flat/Studio,31,1,1.0,20,Usado,282950.21,9127.43,2022,9,143.0,1
IMO-00124,Maraponga,Casa,155,4,,0,Usado,621752.64,4011.31,2024,8,74.0,1
IMO-00125,Parangaba,Apartamento,70,2,2.0,9,Usado,289208.79,4131.55,2022,3,58.0,1
IMO-00126,Dionísio Torres,Apartamento,105,3,1.0,24,Novo,1064699.64,10140.0,2024,5,190.0,1
IMO-00127,Varjota,Casa,178,3,2.0,0,Usado,1368157.78,7686.28,2024,8,124.0,0
IMO-00128,Messejana,Cobertura,157,3,3.0,20,Novo,616055.34,3923.92,2022,5,116.0,1
IMO-00129,Edson Queiroz,Apartamento,63,2,1.0,11,Novo,527968.99,8380.46,2022,9,133.0,1
IMO-00130,Cocó,Casa,146,3,3.0,0,Novo,1527571.65,10462.82,2023,10,156.0,1
IMO-00131,Papicu,Apartamento,86,3,2.0,5,Usado,601233.3,6991.08,2022,9,74.0,0
IMO-00132,Papicu,Apartamento,35,3,2.0,18,Novo,293082.08,8373.77,2023,7,161.0,0
IMO-00133,Dionísio Torres,Apartamento,62,4,2.0,3,Usado,593139.82,9566.77,2024,1,54.0,1
IMO-00134,Fátima,Apartamento,115,4,,11,Usado,869210.43,7558.35,2022,2,25.0,1
IMO-00135,Cocó,Apartamento,74,3,1.0,14,Novo,675024.17,9121.95,2024,2,67.0,1
IMO-00136,Aquiraz (Beach Park),Cobertura,190,4,3.0,18,Novo,1871129.83,9848.05,2022,3,49.0,1
